content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
Wow quick respond and fully responsive docter rather thank another apps doc..thank you Docter Niar for you patient😊🙏,wow quick respond and fully responsive docter rather thank another application doc..thank you docter niar for you patient,en,0.9336,0.0,0.57,0.43,1,"[('responsive docter thank', 0.716), ('doc thank', 0.4882), ('application', 0.3865), ('niar patient', 0.3246), ('wow quick respond', 0.2844)]"
Good doctor with it,good doctor with it,en,0.4404,0.0,0.508,0.492,1,"[('good doctor', 0.872), ('doctor', 0.6646), ('good', 0.4054)]"
"First experience using Halodoc when I need to consult with doctor regarding my covid test result, only to get copy pasted link to random e-form and one generic infographic about ""isoman"" from her. Repeated generic responses such as ""semoga lekas sembuh"", ""GBU"" etc. She insisted that I need to consult to Puskesmas to get Isoman letter when I dont need one as I already granted isoman from my office. I assume she was busy doing something else, bad service, lack of focus, no empathy, bad response","first experience using halodoc when i need to consult with doctor regarding my covid test result, only to get copy pasted link to random e-form and one generic infographic about ""isoman"" from her. repeated generic responses such as ""semoga lekas sembuh"", ""gbu"" etc. she insisted that i need to consult to puskesmas to get isoman letter when i do not need one as i already granted isoman from my office. i assume she was busy doing something else, bad service, lack of focus, no empathy, bad response",en,-0.4854,0.085,0.863,0.052,-1,"[('halodoc need consult', 0.6177), ('infographic isoman repeated', 0.3064), ('covid test result', 0.2662), ('form generic', 0.2235), ('empathy bad response', 0.1996)]"
Good exelemt service,good exelemt service,en,0.4404,0.0,0.408,0.592,2,"[('good exelemt service', 1.0), ('exelemt service', 0.8755), ('exelemt', 0.6643), ('service', 0.4949), ('good', 0.1815)]"
"Payment issues, orders stalled, BYE!","payment issues, orders stalled, bye!",en,-0.2714,0.343,0.657,0.0,-1,"[('orders stalled', 0.8272), ('payment issues orders', 0.6967), ('payment', 0.4415), ('issues', 0.3466), ('bye', 0.2236)]"
Fast and easy consult,fast and easy consult,en,0.4404,0.0,0.508,0.492,1,"[('fast easy consult', 0.9479), ('easy consult', 0.8699), ('consult', 0.7236), ('fast', 0.3498), ('easy', 0.3006)]"
The powerfull apps,the powerfull application,en,0.0,0.0,1.0,0.0,0,"[('powerfull application', 0.9467), ('powerfull', 0.6933), ('application', 0.4734)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
"Appriciate the good deeds of Halodoc so much, but sorry, in my last experience, the doctor can't provide a very good service, cause she's dealing with another patient in our consult session. Overall the service still helped, thanks.","appriciate the good deeds of halodoc so much, but sorry, in my last experience, the doctor cannot provide a very good service, because she is dealing with another patient in our consult session. overall the service still helped, thanks.",en,0.8498,0.04,0.74,0.22,1,"[('halodoc sorry experience', 0.6338), ('doctor provide good', 0.4608), ('service helped thanks', 0.3562), ('session overall service', 0.182), ('deeds', 0.1034)]"
"Was extremely sick but the prescibed medicines never arrived, it said that driver is picking up the order for like 2++++ hrs. Unresponsive live agent as well. Couldnt cancel the order :) halodoc really left people out there dying.. Also, saran aja sih. Kalau halodoc tidak memiliki niat untuk membantu orang sakit, apalagi dengan agent yg gak responsive lebih baik tutup aja usahanya.","was extremely sick but the prescibed medicines never arrived, it said that driver is picking up the order for like 2++++ hrs. unresponsive live agent as well. could not cancel the order :) halodoc really left people out there dying.. also, saran aja sih. kalau halodoc tidak memiliki niat untuk membantu orang sakit, apalagi dengan agent yg gak responsive lebih baik tutup aja usahanya.",en,0.918,0.031,0.765,0.205,1,"[('order halodoc really', 0.5462), ('medicines arrived said', 0.493), ('agent cancel', 0.3116), ('hrs unresponsive live', 0.3076), ('aja sih kalau', 0.2018)]"
"Bagus, cepat, responsif, user friendly","bagus, cepat, responsif, user friendly",en,0.4939,0.0,0.556,0.444,1,"[('bagus cepat responsif', 0.7925), ('cepat', 0.5446), ('bagus', 0.539), ('responsif user friendly', 0.5361), ('user friendly', 0.2864)]"
"Worst apps. I ordered medicine for my mom, usually it is delivered instantl, however, the last case was took 4 days to be delivered without having prior notification. Even the status was not clear, when I clicked to cancel, it said that there is a problem..and it kept saying that. So I called the CS, 3 times, because the chat bot is useless! I called CS to cancel my order but there was no progress until it was delivered after 4 days, I have bought from traditional drugs store. Such a waste!!!","worst application. i ordered medicine for my mom, usually it is delivered instantl, however, the last case was took 4 days to be delivered without having prior notification. even the status was not clear, when i clicked to cancel, it said that there is a problem..and it kept saying that. so i called the cs, 3 times, because the chat bot is useless! i called cs to cancel my order but there was no progress until it was delivered after 4 days, i have bought from traditional drugs store. such a waste!!!",en,-0.9314,0.166,0.834,0.0,-1,"[('application ordered medicine', 0.567), ('chat bot useless', 0.3584), ('delivered days bought', 0.3452), ('called cs cancel', 0.341), ('having prior notification', 0.3294)]"
New way to reach doctor,new way to reach doctor,en,0.0258,0.0,0.784,0.216,1,"[('reach doctor', 0.8497), ('doctor', 0.5508), ('way reach', 0.4694), ('new way', 0.433), ('way', 0.1818)]"
"Very helpul application. Can consult with doctor, get medicine without need to go anywhere.","very helpul application. can consult with doctor, get medicine without need to go anywhere.",en,0.0,0.0,1.0,0.0,0,"[('application consult doctor', 0.7377), ('medicine need', 0.551), ('consult doctor', 0.5005), ('helpul application', 0.4951), ('helpul', 0.2174)]"
Very convenient and helpful app during this Pandemic. The doctors are responsive and medicines are sent directly to the address after ordering the prescriptions.,very convenient and helpful application during this pandemic. the doctors are responsive and medicines are sent directly to the address after ordering the prescriptions.,en,0.6771,0.0,0.798,0.202,1,"[('medicines sent directly', 0.6779), ('convenient helpful application', 0.4346), ('pandemic', 0.4139), ('address ordering', 0.2136), ('responsive', 0.0848)]"
Thanks for help us!,thanks for help us!,en,0.7088,0.0,0.253,0.747,2,"[('thanks help', 0.7115), ('help', 0.4247), ('thanks', 0.3063)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
"Its eay apps, very good apps","its eay application, very good application",en,0.4927,0.0,0.61,0.39,1,"[('eay application good', 0.7914), ('good application', 0.6834), ('application', 0.6484), ('eay', 0.4487), ('good', 0.149)]"
Very helpful 👍,very helpful,en,0.4754,0.0,0.492,0.508,2,"[('helpful', 0.8521)]"
"Easy to use, doctor is available even 4 in the morning","easy to use, doctor is available even 4 in the morning",en,0.4404,0.0,0.775,0.225,1,"[('easy use doctor', 0.7452), ('doctor available', 0.5755), ('available morning', 0.3648), ('use', 0.3214), ('easy', 0.2649)]"
Easy to use and resourceful,easy to use and resourceful,en,0.4404,0.0,0.58,0.42,1,"[('easy use resourceful', 0.9438), ('resourceful', 0.7231), ('easy use', 0.6703), ('use', 0.4029), ('easy', 0.3457)]"
"i have sd 865 and 8gb ram, but i can't barely scroll through list of items within the app. also, the ui sucks.","i have sd 865 and 8gb ram, but i cannot barely scroll through list of items within the application. also, the ui sucks.",en,-0.5023,0.129,0.871,0.0,-1,"[('ram barely scroll', 0.5738), ('items application ui', 0.4345), ('sd 865', 0.3669), ('list', 0.2489), ('sucks', 0.1167)]"
"Not really fast for the response, but i really like this app for the cheap price consultation, and you can order the medicine from this app too. Thank you Halodoc.","not really fast for the response, but i really like this application for the cheap price consultation, and you can order the medicine from this application too. thank you halodoc.",en,0.7869,0.0,0.801,0.199,1,"[('medicine application thank', 0.5362), ('really fast', 0.3478), ('cheap price consultation', 0.2601), ('halodoc', 0.231), ('response', 0.0952)]"
Need to wait 1-4 days for my medicine to be delivered,need to wait 1-4 days for my medicine to be delivered,en,0.0,0.0,1.0,0.0,0,"[('days medicine delivered', 0.6721), ('delivered', 0.2975), ('need wait', 0.2902), ('medicine', 0.2825), ('days', 0.2036)]"
This apps very helpful when I self isolation because the pandemic.,this application very helpful when i self isolation because the pandemic.,en,0.101,0.183,0.608,0.209,1,"[('self isolation pandemic', 0.7743), ('pandemic', 0.431), ('application helpful', 0.4074), ('helpful', 0.2856), ('self', 0.1678)]"
"Easy to access, and excellent service. Thank you","easy to access, and excellent service. thank you",en,0.8442,0.0,0.355,0.645,2,"[('easy access excellent', 0.7349), ('service thank', 0.4773), ('easy', 0.3225), ('thank', 0.2811), ('excellent', 0.2761)]"
Good apps for telemedicine,good application for telemedicine,en,0.4404,0.0,0.508,0.492,1,"[('good application telemedicine', 0.971), ('telemedicine', 0.8569), ('good application', 0.5539), ('application', 0.4954), ('good', -0.003)]"
Easy to use. Like it,easy to use. like it,en,0.6597,0.0,0.357,0.643,2,"[('easy use like', 0.8976), ('use like', 0.5859), ('use', 0.5232), ('easy', 0.4338), ('like', 0.3817)]"
Very useful for consult and get medicine,very useful for consult and get medicine,en,0.4927,0.0,0.653,0.347,1,"[('useful consult medicine', 0.828), ('useful consult', 0.6701), ('medicine', 0.5548), ('useful', 0.552), ('consult', 0.4727)]"
A very helpful and responsive health application. Nice,a very helpful and responsive health application. nice,en,0.8251,0.0,0.366,0.634,2,"[('responsive health application', 0.8169), ('health', 0.4787), ('application nice', 0.4324), ('helpful', 0.3242), ('nice', 0.1589)]"
"Very very good this app, very helful and so kind for the docter... I felt like a personal docter...thanks for Halodoc..","very very good this application, very helful and so kind for the docter... i felt like a personal docter...thanks for halodoc..",en,0.8844,0.0,0.635,0.365,1,"[('personal docter thanks', 0.6815), ('good application helful', 0.427), ('halodoc', 0.3549), ('thanks', 0.1867), ('felt like', 0.1768)]"
Gave 2stars considering good experience in the early days. But I just got my PCR test late and all Help channel they provide doesn't give me any solution.,gave 2stars considering good experience in the early days. but i just got my pcr test late and all help channel they provide does not give me any solution.,en,0.8151,0.0,0.747,0.253,1,"[('got pcr test', 0.7064), ('2stars considering good', 0.3689), ('help channel provide', 0.3116), ('experience early days', 0.2253), ('just', 0.0357)]"
Fast Respond good for urgent sick,fast respond good for urgent sick,en,0.1027,0.3,0.273,0.427,1,"[('urgent sick', 0.7447), ('fast respond good', 0.6213), ('respond good urgent', 0.6212), ('fast', 0.3865), ('good', 0.143)]"
"it is easy to access, use and help us to get quick solution for health care and services","it is easy to access, use and help us to get quick solution for health care and services",en,0.8779,0.0,0.558,0.442,1,"[('easy access use', 0.6157), ('care services', 0.5349), ('solution health', 0.4518), ('use', 0.3079), ('help quick', 0.1733)]"
User friendly & also doctor very helpful,user friendly & also doctor very helpful,en,0.7425,0.0,0.443,0.557,2,"[('user friendly doctor', 0.8158), ('user friendly', 0.4951), ('helpful', 0.4115), ('user', 0.2919), ('friendly', 0.2887)]"
Love the app and very helpful for me,love the application and very helpful for me,en,0.807,0.0,0.451,0.549,2,"[('application helpful', 0.6262), ('application', 0.554), ('love application', 0.4268), ('helpful', 0.3569), ('love', 0.1734)]"
User friendly and very helpful,user friendly and very helpful,en,0.7425,0.0,0.323,0.677,2,"[('user friendly helpful', 0.8884), ('user friendly', 0.7654), ('helpful', 0.6463), ('friendly', 0.4531), ('user', 0.3249)]"
"I am quite dissapointed with this App during the pandemic rise ..while being able to get on line medical consultation and medicine is a great help for us but we expect Halodoc should also be able to give altenative medicine if the stock is empty in nearby drug store..especially for Influenza medicine which is very important during corona pandemic like this.. We suggest Doctors to be able to give several alternative list of medicines especially pandemic related medicines ,thank you!","i am quite dissapointed with this application during the pandemic rise ..while being able to get on line medical consultation and medicine is a great help for us but we expect halodoc should also be able to give altenative medicine if the stock is empty in nearby drug store..especially for influenza medicine which is very important during corona pandemic like this.. we suggest doctors to be able to give several alternative list of medicines especially pandemic related medicines ,thank you!",en,0.8917,0.024,0.822,0.154,1,"[('pandemic related medicines', 0.6225), ('halodoc able altenative', 0.5312), ('stock nearby', 0.1773), ('dissapointed application', 0.1584), ('great help expect', 0.0857)]"
Very slow respon CS,very slow respon cs,en,0.0,0.0,1.0,0.0,0,"[('slow respon cs', 0.9756), ('respon cs', 0.591), ('slow', 0.5649), ('cs', 0.5289), ('respon', 0.2929)]"
"This apps is extraordinary, it helps us to get in touch with medication faster","this application is extraordinary, it helps us to get in touch with medication faster",en,0.3818,0.0,0.833,0.167,1,"[('medication faster', 0.6606), ('touch medication', 0.5451), ('application extraordinary', 0.4616), ('application', 0.4337), ('helps touch', 0.3905)]"
"Bad terrible user experience, health ministry said that it is free to use halodoc, turns out that have to pay and I don't mind but terrible payments process with credit card Half hearted","bad terrible user experience, health ministry said that it is free to use halodoc, turns out that have to pay and i do not mind but terrible payments process with credit card half hearted",en,0.6576,0.133,0.652,0.215,1,"[('free use halodoc', 0.7502), ('terrible payments', 0.3903), ('user experience', 0.2349), ('health ministry said', 0.2203), ('card half hearted', 0.1999)]"
Great and Helpful,great and helpful,en,0.7845,0.0,0.127,0.873,2,"[('great helpful', 0.8247), ('helpful', 0.7881), ('great', 0.398)]"
"Helpful, useful and reliable","helpful, useful and reliable",en,0.6908,0.0,0.26,0.74,2,"[('helpful useful reliable', 0.9203), ('helpful useful', 0.7457), ('reliable', 0.6253), ('useful', 0.6185), ('helpful', 0.5653)]"
It says payment unsuccessful when it's actually confirmed already,it says payment unsuccessful when it is actually confirmed already,en,-0.3612,0.238,0.762,0.0,-1,"[('says payment unsuccessful', 0.8072), ('actually confirmed', 0.5019), ('payment', 0.4896), ('unsuccessful actually', 0.3834), ('says', 0.1849)]"
This app is very helpful but i hope halodoc will provides several options for pharmacies locatio so that when ordering a medicine they are not from far away pharmacies.,this application is very helpful but i hope halodoc will provides several options for pharmacies locatio so that when ordering a medicine they are not from far away pharmacies.,en,0.7092,0.0,0.821,0.179,1,"[('options pharmacies locatio', 0.7417), ('helpful hope halodoc', 0.491), ('application', 0.2241), ('ordering', 0.1727), ('far away', 0.1653)]"
Really helpfull and easy to use,really helpfull and easy to use,en,0.4877,0.0,0.612,0.388,1,"[('helpfull easy use', 0.7779), ('really helpfull', 0.6106), ('use', 0.43), ('easy', 0.2756), ('really', 0.1421)]"
"Fast service, will use again","fast service, will use again",en,0.0,0.0,1.0,0.0,0,"[('fast service use', 0.8189), ('service use', 0.6324), ('service', 0.6173), ('fast', 0.4592), ('use', 0.3988)]"
"This app supercool, I seldom got sick but whenever getting sick I'm always use this apps. Being partner with Gojek is super awesome!","this application supercool, i seldom got sick but whenever getting sick i am always use this application. being partner with gojek is super awesome!",en,0.8655,0.122,0.519,0.359,1,"[('sick use application', 0.6234), ('gojek super awesome', 0.4866), ('supercool seldom', 0.3597), ('partner', 0.1268), ('got', 0.1044)]"
"order 2 kali, apotik stuck mencari driver 30+ menit. Live agent chat and call line selalu sibuk (long wait time). Recently, faster and more reliable beli obat sendiri kalau keperluannya urgent. Untuk feature tele nya quite useful.","order 2 kali, apotik stuck mencari driver 30+ menit. live agent chat and call line selalu sibuk (long wait time). recently, faster and more reliable beli obat sendiri kalau keperluannya urgent. untuk feature tele nya quite useful.",en,0.4576,0.049,0.829,0.122,1,"[('apotik stuck mencari', 0.6629), ('order kali', 0.4287), ('driver 30', 0.3581), ('untuk feature', 0.3096), ('live agent chat', 0.2665)]"
"Invoice tidak keluar, customer care nya slow respond","invoice tidak keluar, customer care nya slow respond",en,0.4939,0.0,0.686,0.314,1,"[('invoice tidak keluar', 0.7147), ('nya slow respond', 0.544), ('keluar customer care', 0.4954), ('customer', 0.3786), ('care', 0.2552)]"
"awesome, ....very useful when you get lazy going to pharmacy.","awesome, ....very useful when you get lazy going to pharmacy.",en,0.6997,0.149,0.417,0.434,1,"[('lazy going pharmacy', 0.7151), ('pharmacy', 0.6348), ('awesome useful', 0.4599), ('useful lazy', 0.443), ('going', 0.1414)]"
Very helpfull ... Thanks,very helpfull ... thanks,en,0.4877,0.0,0.487,0.513,2,"[('helpfull thanks', 0.7336), ('helpfull', 0.5258), ('thanks', 0.2511)]"
Helpfull and reliable!,helpfull and reliable!,en,0.0,0.0,1.0,0.0,0,"[('helpfull reliable', 0.7983), ('helpfull', 0.628), ('reliable', 0.6106)]"
Good aplication.. thanks halodoc,good aplication.. thanks halodoc,en,0.7003,0.0,0.256,0.744,2,"[('aplication thanks halodoc', 0.8986), ('halodoc', 0.669), ('good aplication', 0.5936), ('good', 0.2786), ('thanks', 0.2524)]"
Fast respond and very efficient!,fast respond and very efficient!,en,0.5244,0.0,0.542,0.458,1,"[('fast respond efficient', 0.8754), ('fast respond', 0.7273), ('efficient', 0.6136), ('fast', 0.5647), ('respond', 0.35)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
Quick and reasonable services.,quick and reasonable services.,en,0.0,0.0,1.0,0.0,0,"[('quick reasonable services', 0.9264), ('reasonable services', 0.8138), ('services', 0.6153), ('reasonable', 0.3206), ('quick', 0.3143)]"
This apps has improved tremendously. Wrll done,this application has improved tremendously. wrll done,en,0.4767,0.0,0.659,0.341,1,"[('application improved tremendously', 0.6949), ('improved tremendously wrll', 0.6286), ('wrll', 0.4983), ('application', 0.3954), ('tremendously', 0.3165)]"
Always helping me!!!!!!,always helping me!!!!!!,en,0.5216,0.0,0.373,0.627,2,"[('helping', 0.4003)]"
Help ful aplication in pandemic era,help ful aplication in pandemic era,en,0.4019,0.0,0.649,0.351,1,"[('aplication pandemic era', 0.895), ('help ful aplication', 0.503), ('aplication', 0.3601), ('help ful', 0.2569), ('era', 0.2074)]"
Good Helping for Everyone,good helping for everyone,en,0.6249,0.0,0.282,0.718,2,"[('good helping', 0.6597), ('helping', 0.6169), ('good', 0.3256)]"
Very helpfull apps for your health,very helpfull application for your health,en,0.0,0.0,1.0,0.0,0,"[('helpfull application health', 0.8737), ('helpfull application', 0.7018), ('application', 0.5459), ('health', 0.5436), ('helpfull', 0.4654)]"
Very Helpful & simple,very helpful & simple,en,0.4754,0.0,0.492,0.508,2,"[('helpful simple', 0.8323), ('helpful', 0.6661), ('simple', 0.5359)]"
"Best place to do doctor consultation, has integration with insurance, pharmacy and laboratory","best place to do doctor consultation, has integration with insurance, pharmacy and laboratory",en,0.6369,0.0,0.741,0.259,1,"[('doctor consultation integration', 0.6903), ('integration insurance pharmacy', 0.6247), ('pharmacy laboratory', 0.5509), ('insurance', 0.3239), ('best place', 0.2479)]"
Always malfunctioned when I'm about to checkout the medicine,always malfunctioned when i am about to checkout the medicine,en,0.0,0.0,1.0,0.0,0,"[('malfunctioned checkout medicine', 0.7755), ('malfunctioned checkout', 0.5768), ('malfunctioned', 0.4905), ('medicine', 0.3984), ('checkout', 0.3154)]"
"bad experience, cs not helpful, my complaints not taken seriously, do not use this app, i warn you already","bad experience, cs not helpful, my complaints not taken seriously, do not use this application, i warn you already",en,-0.5355,0.289,0.56,0.151,-1,"[('cs helpful', 0.5329), ('use application warn', 0.3369), ('experience', 0.2237), ('complaints taken', 0.2177), ('seriously', 0.1236)]"
"Fast service, informative to first time users","fast service, informative to first time users",en,0.0,0.0,1.0,0.0,0,"[('fast service informative', 0.8385), ('informative time users', 0.4393), ('informative', 0.3783), ('users', 0.3019), ('fast', 0.2988)]"
I wish after you go out of the App you still can continue your transaction It logged me out from my previous transaction.i was in the middle of it and i had to start all over.,i wish after you go out of the application you still can continue your transaction it logged me out from my previous transaction.i was in the middle of it and i had to start all over.,en,0.4019,0.0,0.928,0.072,1,"[('application continue transaction', 0.7349), ('transaction logged previous', 0.5261), ('logged', 0.3199), ('wish', 0.0886), ('middle start', 0.0225)]"
"Halodoc is the best compare to others similiar app without ""H""","halodoc is the best compare to others similiar application without ""h""",en,0.6369,0.0,0.704,0.296,1,"[('halodoc best compare', 0.7197), ('compare similiar application', 0.3833), ('application', 0.273), ('similiar', 0.129), ('best', 0.1129)]"
Super helpful. Thank you very much. Having this app is a must for everyone I guess.,super helpful. thank you very much. having this application is a must for everyone i guess.,en,0.8481,0.0,0.586,0.414,1,"[('thank having application', 0.5759), ('super helpful thank', 0.4869), ('application guess', 0.338), ('thank', 0.2159), ('guess', -0.1281)]"
Very useful apps,very useful application,en,0.4927,0.0,0.385,0.615,2,"[('useful application', 0.95), ('application', 0.6928), ('useful', 0.6705)]"
"You need doctor & other health product? Well, you've come to the right place","you need doctor & other health product? well, you have come to the right place",en,0.2732,0.0,0.861,0.139,1,"[('health product come', 0.6646), ('need doctor', 0.6085), ('need', 0.1737), ('right place', 0.1634), ('right', 0.1334)]"
Fast response and helpful,fast response and helpful,en,0.4215,0.0,0.517,0.483,1,"[('fast response helpful', 0.8933), ('fast response', 0.8281), ('helpful', 0.5814), ('response', 0.5523), ('fast', 0.4759)]"
"this app very helpfull, recommended doctor.","this application very helpfull, recommended doctor.",en,0.2682,0.0,0.706,0.294,1,"[('helpfull recommended doctor', 0.6956), ('application helpfull recommended', 0.5443), ('application', 0.4283), ('helpfull', 0.3167), ('recommended', 0.2342)]"
Good apps...so much helping,good application...so much helping,en,0.6249,0.0,0.282,0.718,2,"[('good application helping', 0.8375), ('good application', 0.7488), ('application', 0.6398), ('helping', 0.4534), ('good', 0.2255)]"
Its a little bit hard because sometimes error,its a little bit hard because sometimes error,en,-0.4256,0.389,0.611,0.0,-1,"[('hard error', 0.563), ('bit hard error', 0.5602), ('little bit hard', 0.5133), ('hard', 0.4415), ('little bit', 0.2454)]"
Best and so helpful,best and so helpful,en,0.807,0.0,0.215,0.785,2,"[('best helpful', 0.8518), ('helpful', 0.6892), ('best', 0.5561)]"
"Please activate chat with driver feature as it will ease our experience without having to contact driver separately through call, sms or even wa Fyi some houses don't have a good celular recipient hence they only could use wifi supported channel as in wa, in app chat, etc. Hope you could fix that, no issue other than that you saved mine & my family lives through 2021 covid, thank you","please activate chat with driver feature as it will ease our experience without having to contact driver separately through call, sms or even wa fyi some houses do not have a good celular recipient hence they only could use wifi supported channel as in wa, in application chat, etc. hope you could fix that, no issue other than that you saved mine & my family lives through 2021 covid, thank you",en,0.8884,0.056,0.738,0.207,1,"[('activate chat driver', 0.6223), ('recipient use wifi', 0.4035), ('2021 covid thank', 0.307), ('wa application', 0.2004), ('houses good', 0.0866)]"
I'd love to give 5 star but the thing is I can't locate my driver and see the navigation. Overall this app is helping me a lot especially during these bad times.,i would love to give 5 star but the thing is i cannot locate my driver and see the navigation. overall this application is helping me a lot especially during these bad times.,en,-0.189,0.13,0.733,0.137,-1,"[('driver navigation', 0.7135), ('locate', 0.3507), ('star', 0.2251), ('application helping lot', 0.1813), ('especially bad times', 0.0402)]"
App is good! Difficult to change insurance which already linked with new number!,application is good! difficult to change insurance which already linked with new number!,en,0.3147,0.145,0.579,0.277,1,"[('change insurance linked', 0.6012), ('application good', 0.4498), ('new number', 0.4001), ('linked', 0.0999), ('difficult', 0.0959)]"
Very very useful,very very useful,en,0.5379,0.0,0.366,0.634,2,"[('useful', 0.7655)]"
Nice app. Helpful,nice application. helpful,en,0.6808,0.0,0.152,0.848,2,"[('nice application helpful', 0.9362), ('application helpful', 0.6679), ('application', 0.5477), ('helpful', 0.5116), ('nice', 0.3169)]"
Easy and useful to keep our health,easy and useful to keep our health,en,0.7003,0.0,0.463,0.537,2,"[('easy useful health', 0.8642), ('useful health', 0.8177), ('health', 0.6359), ('useful', 0.4778), ('easy', 0.2357)]"
"What's wrong with the app, I'm not able to use my insurance to purchase the medicines prescribed by the doctor!","what is wrong with the application, i am not able to use my insurance to purchase the medicines prescribed by the doctor!",en,-0.5255,0.151,0.849,0.0,-1,"[('insurance purchase medicines', 0.7402), ('wrong application able', 0.4402), ('doctor', 0.2894), ('use', 0.0984), ('wrong', 0.0944)]"
Helpful app in time of needs.,helpful application in time of needs.,en,0.4215,0.0,0.641,0.359,1,"[('helpful application time', 0.754), ('helpful application', 0.7141), ('needs', 0.3948), ('time', 0.3598), ('helpful', 0.2969)]"
Feature to chat with doctor is great and the online medicine store is cool as well. My worst experience is in the booking for appointment with doctor. The schedule information is invalid (per information given by the hospital) and I can't request for cancel by myself neither can the hospital staff. Please make the information of doctor schedule valid and reliable so people don't waste their time making an appointment and confirming with the hospital just for requsting it to be cancelled.,feature to chat with doctor is great and the online medicine store is cool as well. my worst experience is in the booking for appointment with doctor. the schedule information is invalid (per information given by the hospital) and i cannot request for cancel by myself neither can the hospital staff. please make the information of doctor schedule valid and reliable so people do not waste their time making an appointment and confirming with the hospital just for requsting it to be cancelled.,en,0.7927,0.064,0.777,0.159,1,"[('appointment doctor schedule', 0.6382), ('great online medicine', 0.4746), ('cancel', 0.4113), ('feature chat', 0.2338), ('valid reliable', 0.0769)]"
Simple and many choices for out healthy. Thank you very much 🙏,simple and many choices for out healthy. thank you very much,en,0.6369,0.0,0.679,0.321,1,"[('choices healthy thank', 0.7754), ('healthy', 0.5725), ('simple choices', 0.4315), ('thank', 0.1875), ('simple', 0.0872)]"
Great one stop health & medical solutions,great one stop health & medical solutions,en,0.5574,0.183,0.333,0.483,1,"[('health medical solutions', 0.7438), ('stop health', 0.6768), ('great stop', 0.4227), ('solutions', 0.295), ('great', 0.2175)]"
Very helpfull apps when i need some medicines immediately,very helpfull application when i need some medicines immediately,en,0.0,0.0,1.0,0.0,0,"[('application need medicines', 0.8124), ('medicines immediately', 0.7467), ('helpfull application need', 0.5346), ('helpfull', 0.3489), ('immediately', 0.2041)]"
Easy and practical to use,easy and practical to use,en,0.4404,0.0,0.58,0.42,1,"[('easy practical use', 0.918), ('practical use', 0.7821), ('practical', 0.6145), ('use', 0.5117), ('easy', 0.4098)]"
"Good, very helpful during pandemic, thanks","good, very helpful during pandemic, thanks",en,0.8357,0.0,0.252,0.748,2,"[('good helpful pandemic', 0.8592), ('pandemic thanks', 0.7367), ('helpful', 0.4256), ('good', 0.2285), ('thanks', 0.2199)]"
"The app keeps crashing down whenever I try to chat with the doctor and the fact that we have limited time to consult makes it difficult to use, please fix it.","the application keeps crashing down whenever i try to chat with the doctor and the fact that we have limited time to consult makes it difficult to use, please fix it.",en,-0.2732,0.127,0.807,0.066,-1,"[('application keeps crashing', 0.6643), ('chat doctor fact', 0.3867), ('difficult use fix', 0.3391), ('try chat', 0.3017), ('limited time', 0.1887)]"
helpful dok. friendly and details explanation,helpful dok. friendly and details explanation,en,0.7184,0.0,0.4,0.6,2,"[('helpful dok friendly', 0.8522), ('dok', 0.5831), ('helpful', 0.4565), ('details explanation', 0.3974), ('friendly', 0.336)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
Helpfull aplication.. great,helpfull aplication.. great,en,0.6249,0.0,0.328,0.672,2,"[('helpfull aplication great', 0.8894), ('aplication great', 0.6535), ('helpfull', 0.6297), ('aplication', 0.614), ('great', 0.2933)]"
"Very helpfull, intuitive and easy to use. Thanks !","very helpfull, intuitive and easy to use. thanks !",en,0.7263,0.0,0.535,0.465,1,"[('easy use thanks', 0.6004), ('intuitive', 0.3654), ('helpfull', 0.3368), ('easy', 0.2407), ('thanks', 0.1285)]"
easily and helpfully,easily and helpfully,en,0.6908,0.0,0.149,0.851,2,"[('easily helpfully', 0.9155), ('helpfully', 0.7115), ('easily', 0.496)]"
Great app n helpful,great application n helpful,en,0.7845,0.0,0.225,0.775,2,"[('great application helpful', 0.9388), ('application helpful', 0.7705), ('application', 0.6623), ('helpful', 0.4307), ('great', 0.2133)]"
Not bad for my first time.,not bad for my first time.,en,0.431,0.0,0.637,0.363,1,"[('bad', 0.4579), ('bad time', 0.33), ('time', 0.1141)]"
Good doctor and easily to check our health,good doctor and easily to check our health,en,0.6486,0.0,0.531,0.469,1,"[('good doctor easily', 0.7805), ('health', 0.5317), ('good', 0.2618), ('check', 0.2291), ('easily', 0.1987)]"
"Helping people, before long que at the clinic","helping people, before long que at the clinic",en,0.296,0.0,0.761,0.239,1,"[('helping people long', 0.6848), ('que clinic', 0.5705), ('helping', 0.4255), ('long que', 0.3352), ('people', 0.2973)]"
Fast and reliable,fast and reliable,en,0.0,0.0,1.0,0.0,0,"[('fast reliable', 0.9368), ('reliable', 0.775), ('fast', 0.5418)]"
