content,clean_emoji,language,compound,neg,neu,pos,vader_rating
Good teledoctor app,good teledoctor application,en,0.4404,0.0,0.408,0.592,2
"Thank you Alodokter for enabling easy accesses to doctors, medicines, and other related health information. The consultation cost is way cheaper, fast response, and convinience. Keep up the good work.","thank you alodokter for enabling easy accesses to doctors, medicines, and other related health information. the consultation cost is way cheaper, fast response, and convinience. keep up the good work.",en,0.8074,0.0,0.765,0.235,1
Great apps for Health - all in one,great application for health - all in one,en,0.6249,0.0,0.631,0.369,1
"This is my first time using this app...I have booked an appointment with a doctor. Doctor is very responsive, answers quickly and immediately provides solutions. Actually this app is really helpful and easy to use.","this is my first time using this application...i have booked an appointment with a doctor. doctor is very responsive, answers quickly and immediately provides solutions. actually this application is really helpful and easy to use.",en,0.8674,0.0,0.743,0.257,1
First time using this,first time using this,en,0.0,0.0,1.0,0.0,0
I got a call claiming from Alodokter and it seems suspicious trying to offer me insurance,i got a call claiming from alodokter and it seems suspicious trying to offer me insurance,en,-0.3612,0.143,0.857,0.0,-1
This application really helps me to get about health information..Thank you alo doctor & continue to improve the quality of service for the people of Indonesia.,this application really helps me to get about health information..thank you alo doctor & continue to improve the quality of service for the people of indonesia.,en,0.6997,0.0,0.806,0.194,1
Very helpful 👍🙏🙏,very helpful,en,0.4754,0.0,0.694,0.306,1
Very fast respon,very fast respon,en,0.0,0.0,1.0,0.0,0
"Sometimes, some of doctor make me waiting too long for his/her response. But, overall this app enough useful. Thank you","sometimes, some of doctor make me waiting too long for his/her response. but, overall this application enough useful. thank you",en,0.7964,0.0,0.717,0.283,1
"Easy to use, good hospitality of the doctors","easy to use, good hospitality of the doctors",en,0.7003,0.0,0.508,0.492,1
"This telemarketing are being ignorant and rude, forcing to buy, never give chance for me to speak. Wasting my time. Please improve the sales team.","this telemarketing are being ignorant and rude, forcing to buy, never give chance for me to speak. wasting my time. please improve the sales team.",en,-0.5171,0.283,0.563,0.154,-1
Fast respon and detail thx u,fast respon and detail thanks you,en,0.3612,0.0,0.667,0.333,1
Interface lumayan helpful,interface lumayan helpful,en,0.4215,0.0,0.417,0.583,2
"This apps really helpfull, the doctor gave detail explanation and prescription and really fast response. I used this apps when my son is sick on the weekends, it's very satisfying. Thanks Alodokter.","this application really helpfull, the doctor gave detail explanation and prescription and really fast response. i used this application when my son is sick on the weekends, it is very satisfying. thanks alodokter.",en,0.489,0.085,0.748,0.167,1
"Thank you CS Alodokter for helping me register in this application. Now, I already participate subscribed program, consultation fees be more efficient. So Happy. Thanks Alodokter.","thank you cs alodokter for helping me register in this application. now, i already participate subscribed program, consultation fees be more efficient. so happy. thanks alodokter.",en,0.9436,0.0,0.567,0.433,1
"I bought a medicine on August 17th by instant courier service, until August 29th I have not received the medicine. A little disappointed because it turned out to be out of stock. But I am very satisfied with the cs service. very fast responses and helped refund my funds. Thank you and keep up the good service 👍","i bought a medicine on august 17th by instant courier service, until august 29th i have not received the medicine. a little disappointed because it turned out to be out of stock. but i am very satisfied with the cs service. very fast responses and helped refund my funds. thank you and keep up the good service",en,0.8843,0.028,0.807,0.165,1
"I don't like how the customer service or the marketing who called me right after I finished my psychologist appointment and offer me the benefit card or whatsoever by asking me my bank account number. It sure triggered me again when I already had calmed down after the consultation, because she kept pestering about the card after I rejected the offer and asking me numerous time about why I reject her offer while I already had explained it two times to her. However the psychologist was nice.","i do not like how the customer service or the marketing who called me right after i finished my psychologist appointment and offer me the benefit card or whatsoever by asking me my bank account number. it sure triggered me again when i already had calmed down after the consultation, because she kept pestering about the card after i rejected the offer and asking me numerous time about why i reject her offer while i already had explained it two times to her. however the psychologist was nice.",en,0.4386,0.082,0.797,0.121,1
Kind doctor and good service,kind doctor and good service,en,0.743,0.0,0.323,0.677,2
"Why do you guys call us for promotion, u can ONLY SEND EMAIL. LITERALLY CALLED BY PHONE NUMBER, LIKE SCAM, gonna uninstall. 👎🏾👎🏾👎🏾","why do you guys call us for promotion, you can only send email. literally called by phone number, like scam, going to uninstall.",en,-0.0431,0.101,0.778,0.121,-1
"Yes, the doctor is very responsive, answers quickly and immediately provides solutions but now, consultatios fee ini this apps more expensive than the previous consultation. I hope that Alodokter can help by providing affordable services for the lower middle class.","yes, the doctor is very responsive, answers quickly and immediately provides solutions but now, consultatios fee ini this application more expensive than the previous consultation. i hope that alodokter can help by providing affordable services for the lower middle class.",en,0.827,0.057,0.69,0.253,1
"I tried my first consultation with a gynecologist. Very satisfying service. Friendly doctor with helpful answers. And amazingly, the doctor answered with a fast response. Great service Alodokter.","i tried my first consultation with a gynecologist. very satisfying service. friendly doctor with helpful answers. and amazingly, the doctor answered with a fast response. great service alodokter.",en,0.9281,0.0,0.637,0.363,1
It makes me pay with auto debit,it makes me pay with auto debit,en,-0.1027,0.189,0.811,0.0,-1
Please consider with various courier method. I dont want wait too long for my important medicine. It doesnt matter i paid more shipping cost better than my disease gonna be worse.,please consider with various courier method. i do not want wait too long for my important medicine. it does not matter i paid more shipping cost better than my disease going to be worse.,en,0.4344,0.143,0.664,0.193,1
"Good apps, its so help me with my health with this pandemic situation","good application, its so help me with my health with this pandemic situation",en,0.75,0.0,0.633,0.367,1
"Thanks Alodokter, fast response and very helpfull for our fams.","thanks alodokter, fast response and very helpfull for our fams.",en,0.4404,0.0,0.756,0.244,1
"I am very satisfied with the doctor's service, fast response and friendly. The appearance of the application is also not complicated, easy to use. Thanks Alodokter.","i am very satisfied with the doctor's service, fast response and friendly. the appearance of the application is also not complicated, easy to use. thanks alodokter.",en,0.7774,0.072,0.655,0.274,1
"The doctor is very responsive, answers quickly and immediately provides solutions. Doctors can prescribe medicines online. Hopefully there is an improvement for the delivery of the medicine, it is better to cooperate with a good courier service. Thank you.","the doctor is very responsive, answers quickly and immediately provides solutions. doctors can prescribe medicines online. hopefully there is an improvement for the delivery of the medicine, it is better to cooperate with a good courier service. thank you.",en,0.9476,0.0,0.634,0.366,1
Beware of this app. I got called 6 times a day by number registered as Alodokter agent eventhough I've already uninstalled it a long time ago. Basically they'll kept your data.,beware of this application. i got called 6 times a day by number registered as alodokter agent eventhough i have already uninstalled it a long time ago. basically they will kept your data.,en,0.0772,0.0,0.958,0.042,1
Helpfull with detil explaination,helpfull with detil explaination,en,0.0,0.0,1.0,0.0,0
"Great App, Doctors are very responsive in chat. Got cashback via e-money after my first time scheduling a doctor visit via Alodokter...","great application, doctors are very responsive in chat. got cashback via e-money after my first time scheduling a doctor visit via alodokter...",en,0.7841,0.0,0.744,0.256,1
"I downloaded this app for consultation. but it looks like the doctor who answered already has an answer template, he keeps answering without asking me anything. And the next day there was a strange call saying they got my information from this app and offered insurance. personal information is not guaranteed security.","i downloaded this application for consultation. but it looks like the doctor who answered already has an answer template, he keeps answering without asking me anything. and the next day there was a strange call saying they got my information from this application and offered insurance. personal information is not guaranteed security.",en,-0.129,0.083,0.86,0.057,-1
"At first, I was hesitant to go for an online consultation because I was worried it wouldn't be accurate. But now that it has been answered, the doctor is very competent, fast response and the medicine given is very good for me. Thank you Alodokter","at first, i was hesitant to go for an online consultation because i was worried it would not be accurate. but now that it has been answered, the doctor is very competent, fast response and the medicine given is very good for me. thank you alodokter",en,0.8698,0.057,0.74,0.202,1
I've tried several times to chat with doctor consultations on the application and the doctor always fast response to all my questions. Thank you Alodokter,i have tried several times to chat with doctor consultations on the application and the doctor always fast response to all my questions. thank you alodokter,en,0.3612,0.0,0.906,0.094,1
This App very good,this application very good,en,0.4927,0.0,0.484,0.516,2
Helping me with some good solutions by doctor... Thank you,helping me with some good solutions by doctor... thank you,en,0.8074,0.0,0.392,0.608,2
"I never used this app before. I used the other one. A week after I made a transaction, I got a call telling me that Alodokter giving me a free treatment for a year. In the end, the woman on the phone asking confirmation on my bank account. So I assumed that the moment you make a transaction on the account your personal data is handed out somewhere which is very alarming. I logged out and uninstalled immediately after. Never happened with the other app, tho.","i never used this application before. i used the other one. a week after i made a transaction, i got a call telling me that alodokter giving me a free treatment for a year. in the end, the woman on the phone asking confirmation on my bank account. so i assumed that the moment you make a transaction on the account your personal data is handed out somewhere which is very alarming. i logged out and uninstalled immediately after. never happened with the other application, though.",en,0.6003,0.02,0.917,0.063,1
It's very helpful.,it is very helpful.,en,0.4754,0.0,0.393,0.607,2
I reach out customer service about my privacy because they called me. They just offer me free DHF insurance and a new program with affordable prices. Well I'll give it a try,i reach out customer service about my privacy because they called me. they just offer me free dhf insurance and a new program with affordable prices. well i will give it a try,en,0.6705,0.0,0.817,0.183,1
I tried Alodokter for first time quiet fast response. I was having trouble with my medicine delivery but customer service then contact me via email and handled it well. Loved it!,i tried alodokter for first time quiet fast response. i was having trouble with my medicine delivery but customer service then contact me via email and handled it well. loved it!,en,0.8147,0.049,0.734,0.217,1
Good service and free for first consultation,good service and free for first consultation,en,0.7351,0.0,0.446,0.554,2
Very good apps. Useful for me to asked directly with doctor,very good application. useful for me to asked directly with doctor,en,0.7474,0.0,0.586,0.414,1
Its helpfull🥰🙏. Thank you Alodokter,its helpfull. thank you alodokter,en,0.8689,0.0,0.479,0.521,2
"Friendly user and quick respon, good app","friendly user and quick respon, good application",en,0.7269,0.0,0.45,0.55,2
"Already joined the subscription program for free chat but in the application you still pay. Fortunately, Alodokter has a CS that is responsive to customer complaints. Not more than 2 hours is right.","already joined the subscription program for free chat but in the application you still pay. fortunately, alodokter has a cs that is responsive to customer complaints. not more than 2 hours is right.",en,0.0644,0.13,0.733,0.137,1
"Thank You Alodokter, the doctor is very fast response, please keep your consumer privacy data safe. Stay health for all Indonesian people.","thank you alodokter, the doctor is very fast response, please keep your consumer privacy data safe. stay health for all indonesian people.",en,0.7884,0.0,0.705,0.295,1
"The video ads before the consultation really bothered the admin, please fix it. But overall this application is okay, the doctor is friendly, the customer service also fast response.Satisfied.","the video ads before the consultation really bothered the admin, please fix it. but overall this application is okay, the doctor is friendly, the customer service also fast response.satisfied.",en,0.7582,0.051,0.712,0.236,1
The apps and service are good. But the sales team are not. They keep calling me to offer a product to subscribe!,the application and service are good. but the sales team are not. they keep calling me to offer a product to subscribe!,en,0.3054,0.0,0.904,0.096,1
"Their tele marketing calls me everyday to offer products, although rejected politely, but they keep calling me","their tele marketing calls me everyday to offer products, although rejected politely, but they keep calling me",en,-0.2846,0.118,0.882,0.0,-1
Nice information ☺️,nice information,en,0.7003,0.0,0.256,0.744,2
The best app,the best application,en,0.6369,0.0,0.323,0.677,2
Amazing app for consulting doctors!,amazing application for consulting doctors!,en,0.6239,0.0,0.494,0.506,2
Easy To Use. Butttt.. Drug Delivery Take Time,easy to use. butttt.. drug delivery take time,en,0.4404,0.0,0.707,0.293,1
very helpful. thankyou alodokter,very helpful. thankyou alodokter,en,0.4754,0.0,0.492,0.508,2
"This application makes me pay, even though I have not used the facilities (chat).","this application makes me pay, even though i have not used the facilities (chat).",en,-0.1027,0.097,0.903,0.0,-1
"this application simple yet effective, customer service very response to solve my problems. the doctor is very friendly to answer my gerd problem. Will be use it next week to book a doctor also","this application simple yet effective, customer service very response to solve my problems. the doctor is very friendly to answer my gerd problem. will be use it next week to book a doctor also",en,0.5034,0.125,0.674,0.201,1
"Bad application ever, you chat n konsul then immediately cust service will call you for monthly payment member card and really annoying, please be carefully four your privacy","bad application ever, you chat n konsul then immediately cust service will call you for monthly payment member card and really annoying, please be carefully four your privacy",en,-0.5291,0.188,0.694,0.118,-1
"this app is so usefull, I love to using it","this application is so usefull, i love to using it",en,0.6666,0.0,0.668,0.332,1
"This app is work perfectly without any problems. Last week, I was using this telemedicine. The doctor is fast response and clear to my ilness. It really helps me a lot. Superb.","this application is work perfectly without any problems. last week, i was using this telemedicine. the doctor is fast response and clear to my ilness. it really helps me a lot. superb.",en,0.9437,0.0,0.627,0.373,1
"In Jul 24th, this telemedicine helps me to chat with doctor without worried to get infected by Covid-19. The answer from the doctor is very clear to my problem and fast response too. The app system also works flawlessly without facing any bugs. Thanks alodokter.","in jul 24th, this telemedicine helps me to chat with doctor without worried to get infected by covid-19. the answer from the doctor is very clear to my problem and fast response too. the application system also works flawlessly without facing any bugs. thanks alodokter.",en,0.6347,0.105,0.679,0.216,1
Very help full and informatif,very help full and informatif,en,0.4576,0.0,0.572,0.428,1
Fast Response..friendly doctors,fast response..friendly doctors,en,0.0,0.0,1.0,0.0,0
Don't install this app!!! This app doesn't keep data confidential My personal information is known to strangers & used improperly,do not install this application!!! this application does not keep data confidential my personal information is known to strangers & used improperly,en,0.0,0.0,1.0,0.0,0
Easy to use. So far it's good for the consultation,easy to use. so far it is good for the consultation,en,0.7239,0.0,0.569,0.431,1
It takes too long. I've paid for chat to doctor for an hour. But the doctor didnt replied my question. How can i get my mone back? In order to use to talk with another doctor. How can I wait just for checking whether he/she already replied my message?,it takes too long. i have paid for chat to doctor for an hour. but the doctor did not replied my question. how can i get my mone back? in order to use to talk with another doctor. how can i wait just for checking whether he/she already replied my message?,en,0.0,0.0,1.0,0.0,0
"Doctors are quiet fast responses during this booming of telemedicine. My privacy is also promised will be safe. I asked about my subscription to the customer service and they did well. Some need to be improved but as far I use Alodokter, it's pretty helpful. Giving you 5 stars looking for what comes next ⭐","doctors are quiet fast responses during this booming of telemedicine. my privacy is also promised will be safe. i asked about my subscription to the customer service and they did well. some need to be improved but as far i use alodokter, it is pretty helpful. giving you 5 stars looking for what comes next",en,0.9468,0.0,0.723,0.277,1
this app is so helpful,this application is so helpful,en,0.5598,0.0,0.525,0.475,1
Please look for annother apk. This is not sure to be recommended I wait the doctor for long time.,please look for annother apk. this is not sure to be recommended i wait the doctor for long time.,en,0.2819,0.089,0.725,0.186,1
Customer service is quiet fast response. It's helpful enough during hard time like this bravo Alodokter,customer service is quiet fast response. it is helpful enough during hard time like this bravo alodokter,en,0.5994,0.071,0.66,0.269,1
Doctor is good but sometimes taking times to interact,doctor is good but sometimes taking times to interact,en,0.2382,0.0,0.804,0.196,1
So helpful in this pandemi,so helpful in this pandemi,en,0.4754,0.0,0.564,0.436,1
"Got unexpected and unwanted call from Alodokter sales offering some kind of membership card and insurance. Hate this kind of call. It's not important for me, wasting my time. If you want to offer something, offer it from the apps and let the customer decide whether its needed or not. Not forcefully call the customer and offering it to them.","got unexpected and unwanted call from alodokter sales offering some kind of membership card and insurance. hate this kind of call. it is not important for me, wasting my time. if you want to offer something, offer it from the application and let the customer decide whether its needed or not. not forcefully call the customer and offering it to them.",en,-0.8221,0.149,0.831,0.02,-1
"Good application, easy to use. Overall help me a lot during this pandemic.","good application, easy to use. overall help me a lot during this pandemic.",en,0.8176,0.0,0.541,0.459,1
Very helpful.. thanks alodokter,very helpful.. thanks alodokter,en,0.7408,0.0,0.242,0.758,2
Recomended fastrespon dan sangat baik,recomended fastrespon dan sangat baik,en,0.0,0.0,1.0,0.0,0
Thank you 😊,thank you,en,0.8176,0.0,0.32,0.68,2
Helpfull n fast respon banged.,helpfull n fast respon banged.,en,0.0,0.0,1.0,0.0,0
"Doctor ok, but the courier services is awful, i order next day for medicine, but the courier fail to fulfill this request. Better you change anteraja with gojek or grab is much better and can provide sameday oe instant. We need fast delivery not very slow delivery","doctor ok, but the courier services is awful, i order next day for medicine, but the courier fail to fulfill this request. better you change anteraja with gojek or grab is much better and can provide sameday oe instant. we need fast delivery not very slow delivery",en,0.4215,0.14,0.674,0.185,1
"Doesn't really helpful, the doctor not really being interactive.. They.. or I must say ""She"" keeps repeating herself over and over while I'm expecting her to give me answer over my problem.. I don't get answer for my question at all during our session. What a disappointment.","does not really helpful, the doctor not really being interactive.. they.. or i must say ""she"" keeps repeating herself over and over while i am expecting her to give me answer over my problem.. i do not get answer for my question at all during our session. what a disappointment.",en,-0.82,0.163,0.837,0.0,-1
"Just installed it 2 days ago, and got called by anonymous that knew all infos I put inside. Fortunately, I didn't put any private data. How can its user protection be this disappointed? It's traumatizing.","just installed it 2 days ago, and got called by anonymous that knew all infos i put inside. fortunately, i did not put any private data. how can its user protection be this disappointed? it is traumatizing.",en,-0.7861,0.173,0.827,0.0,-1
First time using this mobile application gave me a good impression and service for free consultation related to covid-19. Keep up the good work.,first time using this mobile application gave me a good impression and service for free consultation related to covid-19. keep up the good work.,en,0.875,0.0,0.645,0.355,1
"Wew, this application its very helpfull in this pandemic. thanks a lot Alodokter","wew, this application its very helpfull in this pandemic. thanks a lot alodokter",en,0.4404,0.0,0.805,0.195,1
Very helpful !!!,very helpful !!!,en,0.6084,0.0,0.335,0.665,2
Good. Very helpfull,good. very helpfull,en,0.4404,0.0,0.408,0.592,2
"Concern on Medicine delivery which takes long time, should instant delivery like mentioned in apps.","concern on medicine delivery which takes long time, should instant delivery like mentioned in application.",en,0.3612,0.0,0.848,0.152,1
Worst application. Very bad customer service especially aloshop. Never buy from that shop. The med took forever to arrive. The only nice thing to say is the doctor is quite helpful.,worst application. very bad customer service especially aloshop. never buy from that shop. the med took forever to arrive. the only nice thing to say is the doctor is quite helpful.,en,-0.4588,0.194,0.662,0.144,-1
"Got my pcr from the recommended clinic frm here in a much reasonable price, last month when average pcr is idr 900+ k, and just went with the free consultation with doctor and received a very good advice. Will recommend this site for sure. But, if they can add link with ovo or shoppee or gopay that will be much much better","got my pcr from the recommended clinic frm here in a much reasonable price, last month when average pcr is idr 900+ k, and just went with the free consultation with doctor and received a very good advice. will recommend this site for sure. but, if they can add link with ovo or shoppee or gopay that will be much much better",en,0.8719,0.0,0.813,0.187,1
"Just installed this app. Then proceed with registration. I was surprised when I found out that my email was registered. I tried to log in with Google (registered email) and was not asked for a password, but there is a history of someone else from Cirebon having consulted with a doctor. Be careful your data can be leaked.","just installed this application. then proceed with registration. i was surprised when i found out that my email was registered. i tried to log in with google (registered email) and was not asked for a password, but there is a history of someone else from cirebon having consulted with a doctor. be careful your data can be leaked.",en,-0.1531,0.048,0.897,0.055,-1
Amazing App with a good doctor,amazing application with a good doctor,en,0.7717,0.0,0.374,0.626,2
It's better to redeem the prescription at the general pharmacy because in alodok it takes long time,it is better to redeem the prescription at the general pharmacy because in alodok it takes long time,en,0.4404,0.0,0.847,0.153,1
"Doctor okay, apps okay even though UI quite hassle. Customer service disaster, slow response chat/call. I bought medicine on 7th july with instant courier service, until now 10th july i haven't received the medicine and the CS still not responded. You shouldn't have offered promise instant service if you couldn't. Imagine people who need the medicine asap and have to wait 3+ days (?), worst service have occured to me.","doctor okay, application okay even though ui quite hassle. customer service disaster, slow response chat/call. i bought medicine on 7th july with instant courier service, until now 10th july i have not received the medicine and the cs still not responded. you should not have offered promise instant service if you could not. imagine people who need the medicine as soon as possible and have to wait 3+ days (?), worst service have occured to me.",en,-0.8106,0.129,0.823,0.048,-1
Good explanation and fast respon,good explanation and fast respon,en,0.4404,0.0,0.58,0.42,1
Thanks for helping me🥺😍,thanks for helping me,en,0.7964,0.0,0.464,0.536,2
"I would've gave 5 starts if this app has ""delete account"" feature","i would have gave 5 starts if this application has ""delete account"" feature",en,0.0,0.0,1.0,0.0,0
Fast respon and very helpful 😭,fast respon and very helpful,en,-0.0697,0.27,0.482,0.248,-1
"Im satisfied with the answers, good points","i am satisfied with the answers, good points",en,0.6908,0.0,0.467,0.533,2
"Ordered my medicine via this app, it's been 3 days and it has not come yet! I asked for refund (via instagram, whatsapp, and email) but no response. Please dont scam your customer, refund my purchase","ordered my medicine via this application, it is been 3 days and it has not come yet! i asked for refund (via instagram, whatsapp, and email) but no response. please do not scam your customer, refund my purchase",en,-0.1376,0.13,0.776,0.094,-1
This app so useful for me,this application so useful for me,en,0.5777,0.0,0.572,0.428,1
Very quickly respon. And clear. Thank you,very quickly respon. and clear. thank you,en,0.6249,0.0,0.495,0.505,2
You really need to fix your privacy security. I got called from unknown number that pretended to be your sales agent. Thank god i realized it was a scam. But now i have trust issues with my data privacy in your apps. Cmon fix it,you really need to fix your privacy security. i got called from unknown number that pretended to be your sales agent. thank god i realized it was a scam. but now i have trust issues with my data privacy in your application. cmon fix it,en,0.7391,0.045,0.751,0.204,1
It's very easy to used and the chat went very smoothly and very responsive. I like it.,it is very easy to used and the chat went very smoothly and very responsive. i like it.,en,0.8294,0.0,0.615,0.385,1
"Thank you so much for the doctors team, its really useful and helpful.","thank you so much for the doctors team, its really useful and helpful.",en,0.8297,0.0,0.533,0.467,1
"The delivery is super bad. My experience, I got ill symptoms on July 3, paid for the prescribed medicine. It was already July 5, I still didn't get the medicine so I decided to buy medicine from the nearest pharmacist. I wanted to cancel the order and request for refund but contact for pharmacy is never available, seriously NEVER AVAILABLE so I guess there must be so many complaints they make it unavailable. The medicine arrived on June 8 (thankfully I've recovered) so basically it's rubbish.","the delivery is super bad. my experience, i got ill symptoms on july 3, paid for the prescribed medicine. it was already july 5, i still did not get the medicine so i decided to buy medicine from the nearest pharmacist. i wanted to cancel the order and request for refund but contact for pharmacy is never available, seriously never available so i guess there must be so many complaints they make it unavailable. the medicine arrived on june 8 (thankfully i have recovered) so basically it is rubbish.",en,-0.1755,0.1,0.818,0.082,-1
"Doctor is very responsive, answers quickly and immediately provides solutions. while CS is not responsive, either via WA or phone line. The medicine that I bought was lately sent, eventhough I chose an instant courier. Medicine order are confirmed 30 hours after payment and delivered 4 hours after confirmation. I need the medicine on the same day, but i received next day at night.","doctor is very responsive, answers quickly and immediately provides solutions. while cs is not responsive, either via wa or phone line. the medicine that i bought was lately sent, eventhough i chose an instant courier. medicine order are confirmed 30 hours after payment and delivered 4 hours after confirmation. i need the medicine on the same day, but i received next day at night.",en,0.1758,0.024,0.927,0.049,1
Doctors giving conflicting info,doctors giving conflicting info,en,-0.0772,0.38,0.282,0.338,-1
"Apps taking forever, from one step to another. My chat with doctor was interrupted because i have to exit the app. To restart the app takes forever too.","application taking forever, from one step to another. my chat with doctor was interrupted because i have to exit the application. to restart the application takes forever too.",en,-0.296,0.075,0.925,0.0,-1
"A very well app, with very helpful and experienced doctors.. it answers my unresolved questions about my health 🙏🏽","a very well application, with very helpful and experienced doctors.. it answers my unresolved questions about my health",en,0.669,0.0,0.793,0.207,1
"After use very satisfying this service someone called me after 3 days. They said I was use Alodokter and now I have 2jt award, asking me my bank account number. Is obvious Alodokter share or sale my private information as phone number to someone who wanna cheat me. Very dirty and illegal.","after use very satisfying this service someone called me after 3 days. they said i was use alodokter and now i have 2jt award, asking me my bank account number. is obvious alodokter share or sale my private information as phone number to someone who want to cheat me. very dirty and illegal.",en,-0.1189,0.153,0.67,0.177,-1
"Easy to use, very useful, and visually fine","easy to use, very useful, and visually fine",en,0.7841,0.0,0.388,0.612,2
Very helpful with the current condition,very helpful with the current condition,en,0.4754,0.0,0.618,0.382,1
"Quick answer to every questions, only wait for awhile when connected to the doctor.a","quick answer to every questions, only wait for awhile when connected to the doctor.a",en,0.0,0.0,1.0,0.0,0
"Low respond when delivering medicine. You are dealing with sick people , please have some empathy.","low respond when delivering medicine. you are dealing with sick people , please have some empathy.",en,-0.4767,0.261,0.628,0.111,-1
"Giving this app 1 star. Made a dental appointment and Alodokter confirmed it. On the day I went to the clinic, they said the dental clinic service is closed until 12 July. No prior cancellation notice was given.","giving this application 1 star. made a dental appointment and alodokter confirmed it. on the day i went to the clinic, they said the dental clinic service is closed until 12 july. no prior cancellation notice was given.",en,0.0516,0.054,0.887,0.059,1
Smooth and fast,smooth and fast,en,0.0,0.0,1.0,0.0,0
🙏🙏 Thanks a lot,thanks a lot,en,0.4404,0.0,0.674,0.326,1
"Helpfull and responsive, feedback: to partner with gojek / grab for instant medicine delivery","helpfull and responsive, feedback: to partner with gojek / grab for instant medicine delivery",en,0.3612,0.0,0.839,0.161,1
Fast response and handled well,fast response and handled well,en,0.2732,0.0,0.656,0.344,1
"I am very satisfied with the doctor's service, but I will no longer order medicines from this apps ever again. I ordered yesterday morning at 9.45, chose ""same day"" delivery with a delivery fee (could've chosen free delivery for longer service) which was said to be delivered in 10 hours max.. now it's already over 28 hours, the medicines have not arrived and I am in a serious pain..","i am very satisfied with the doctor's service, but i will no longer order medicines from this application ever again. i ordered yesterday morning at 9.45, chose ""same day"" delivery with a delivery fee (could have chosen free delivery for longer service) which was said to be delivered in 10 hours max.. now it is already over 28 hours, the medicines have not arrived and i am in a serious pain..",en,-0.2967,0.11,0.808,0.082,-1
Very useful especially during quarantine,very useful especially during quarantine,en,0.4927,0.0,0.556,0.444,1
really enjoy and fast response. I was handled by dr. gianina. Thank you dokter.,really enjoy and fast response. i was handled by dr. gianina. thank you dokter.,en,0.7178,0.0,0.667,0.333,1
Best online health consultant app.,best online health consultant application.,en,0.6369,0.0,0.488,0.512,2
My number get spam called after I install this app. And try to scam me. Really your privacy about my phone number is sucks,my number get spam called after i install this application. and try to scam me. really your privacy about my phone number is sucks,en,-0.7964,0.287,0.627,0.086,-1
"I use their service once, and they call my private number to promote their subscription plan without my consent. I intentionally use this number on their website because I thought they would use it professionally regarding the medical reasons, and have been very cautious using this number to avoid spam calls but I might get another promotional calls in the near future 🤷🏻‍♂️","i use their service once, and they call my private number to promote their subscription plan without my consent. i intentionally use this number on their website because i thought they would use it professionally regarding the medical reasons, and have been very cautious using this number to avoid spam calls but i might get another promotional calls in the near future",en,-0.1882,0.083,0.844,0.073,-1
"My complaints is well handled. The customer service is fast response towards cust inquiries. I thought there was something wrong with my data privacy, but the cust service handled my questions well. Wish you'll get better, alodok","my complaints is well handled. the customer service is fast response towards cust inquiries. i thought there was something wrong with my data privacy, but the cust service handled my questions well. wish you will get better, alodok",en,0.8271,0.084,0.667,0.249,1
"Services and replies from the doctors are quite fast response. I was wondering of my data privacy security, but the cust service explained me well. Good job 👌","services and replies from the doctors are quite fast response. i was wondering of my data privacy security, but the cust service explained me well. good job",en,0.9468,0.0,0.594,0.406,1
Fast response! The doctors and the service is best! I cant believe I have no spam ads in an app. Also our data privacy of consultation is secured,fast response! the doctors and the service is best! i cannot believe i have no spam ads in an application. also our data privacy of consultation is secured,en,0.8623,0.0,0.723,0.277,1
*Uninstalled* NO FREE CHAT,*uninstalled* no free chat,en,-0.6331,0.721,0.279,0.0,-2
"The shop delivery is too long. It has been 2 days, and my meds hasn't arrived yet. We're unable to choose where the meds were sent so it took too long.","the shop delivery is too long. it has been 2 days, and my meds has not arrived yet. we are unable to choose where the meds were sent so it took too long.",en,0.0,0.0,1.0,0.0,0
"Helpful app, ditengah pandemi gini yg buat ragu untuk keluar rumah apalagi datang ke pelayanan kesehatan this app is great. With responsive Doctor, and so polite. Keeping up the good work","helpful application, ditengah pandemi gini yg buat ragu untuk keluar rumah apalagi datang ke pelayanan kesehatan this application is great. with responsive doctor, and so polite. keeping up the good work",en,0.9062,0.0,0.687,0.313,1
i just install the apps. there so many good respond from the user. unfortunetly it cant verify for my first time use.,i just install the application. there so many good respond from the user. unfortunetly it cannot verify for my first time use.,en,0.4902,0.0,0.869,0.131,1
The doctors are so polite. Customer service is fast response for activating my Unlimited Chat. Thank you 💫🤟🤞,the doctors are so polite. customer service is fast response for activating my unlimited chat. thank you,en,0.1531,0.078,0.82,0.102,1
"Fast response, kind, very helpful during times like this. The services available 24/7","fast response, kind, very helpful during times like this. the services available 24/7",en,0.8399,0.0,0.527,0.473,1
"I'm being scamed by one of marketing called them self alodokter marketing, asking for personal information and even id card. But right after i saw confirmation paper it says i'm giving authority to alodokter to use bank account at their will, i want my account deleted from alodokter but cs always didn't respond.","i am being scamed by one of marketing called them self alodokter marketing, asking for personal information and even id card. but right after i saw confirmation paper it says i am giving authority to alodokter to use bank account at their will, i want my account deleted from alodokter but cs always did not respond.",en,0.6124,0.0,0.893,0.107,1
Optional chat nya,optional chat nya,en,0.0,0.0,1.0,0.0,0
Helps a lot,helps a lot,en,0.3818,0.0,0.435,0.565,2
God bless you all. All the data privacy. All the fast response. And also no spam at all. May God always bless people. May you live a good life,god bless you all. all the data privacy. all the fast response. and also no spam at all. may god always bless people. may you live a good life,en,0.9154,0.0,0.608,0.392,1
