score,content_contractions
5,"This app supercool, I seldom got sick but whenever getting sick I am always use this apps. Being partner with Gojek is super awesome!"
5,"Thank you halodoc,,"
5,"awesome, ....very useful when you get lazy going to pharmacy."
5,Very helpfull ... Thanks
5,Helpfull and reliable!
5,Good aplication.. thanks halodoc
5,Fast respond and very efficient!
5,Easy to use
5,Quick and reasonable services.
5,This apps has improved tremendously. Wrll done
5,Always helping me!!!!!!
5,Help ful aplication in pandemic era
5,Good Helping for Everyone
5,Very helpfull apps for your health
5,Very Helpful & simple
5,"Best place to do doctor consultation, has integration with insurance, pharmacy and laboratory"
1,Always malfunctioned when I am about to checkout the medicine
1,"bad experience, cs not helpful, my complaints not taken seriously, do not use this app, i warn you already"
5,"Fast service, informative to first time users"
5,I wish after you go out of the App you still can continue your transaction It logged me out from my previous transaction.i was in the middle of it and i had to start all over.
5,"Halodoc is the best compare to others similiar app without ""H"""
5,Super helpful. Thank you very much. Having this app is a must for everyone I guess.
5,Very useful apps
5,"You need doctor & other health product? Well, you have come to the right place"
5,Fast response and helpful
5,"this app very helpfull, recommended doctor."
5,Good apps...so much helping
4,Its a little bit hard because sometimes error
5,Best and so helpful
4,"Please activate chat with driver feature as it will ease our experience without having to contact driver separately through call, sms or even wa Fyi some houses do not have a good celular recipient hence they only could use wifi supported channel as in wa, in app chat, etc. Hope you could fix that, no issue other than that you saved mine & my family lives through 2021 covid, thank you"
4,I would love to give 5 star but the thing is I cannot locate my driver and see the navigation. Overall this app is helping me a lot especially during these bad times.
2,App is good! Difficult to change insurance which already linked with new number!
5,Very very useful
5,Nice app. Helpful
5,Easy and useful to keep our health
1,"What is wrong with the app, I am not able to use my insurance to purchase the medicines prescribed by the doctor!"
5,Helpful app in time of needs.
3,Feature to chat with doctor is great and the online medicine store is cool as well. My worst experience is in the booking for appointment with doctor. The schedule information is invalid (per information given by the hospital) and I cannot request for cancel by myself neither can the hospital staff. Please make the information of doctor schedule valid and reliable so people do not waste their time making an appointment and confirming with the hospital just for requsting it to be cancelled.
5,Simple and many choices for out healthy. Thank you very much 🙏
5,Great one stop health & medical solutions
5,Very helpfull apps when i need some medicines immediately
5,Easy and practical to use
5,"Good, very helpful during pandemic, thanks"
2,"The app keeps crashing down whenever I try to chat with the doctor and the fact that we have limited time to consult makes it difficult to use, please fix it."
5,helpful dok. friendly and details explanation
5,Easy to use
5,Helpfull aplication.. great
5,"Very helpfull, intuitive and easy to use. Thanks !"
5,easily and helpfully
5,Great app n helpful
5,Not bad for my first time.
5,Good doctor and easily to check our health
5,"Helping people, before long que at the clinic"
5,Fast and reliable
2,"Worst experience, i have already paid to chat with doctor but i always waiting that those doctor is ready to chat and did not get contact for customer service to chat again"
5,Very fast and efficient
1,"Please fix the notification bug, where the notification keep telling me to complete the purchase but i did not make any transaction in the application"
5,"Worst experience. For the first time I want to try this application and consult about veterinarians using the gopay payment method, but the balance has been deducted first while I cannot consult with the doctor, maybe cost cuts can be made after consulting so that the patient does not lose"
5,This is very useful. You can get the drug recommendation.
5,Best to consult experience doctor online
5,So far so good
5,One of the best apps! Very convenient!
5,DRH Ami is very helpful and patient. She gave guidelines on how to take care the adopt kitten with clear explanation in this prime time around 9.30ish pm. Recommended to consult with her
5,Very usefull apps
5,"The most complete health app, it is got everything you name it, you can even talk to real doctor, pharmacist. Especially during COVID pandemic this app is highly recommended and a must have a whole hospital in your pocket anytime you need it. It is got ton's of very detail information that you can compare to a real person, as long any virus around and keep on mutating this app will keep you standard safety protocol in place. Stay safe and God Bless."
5,Easy & friendly
4,The doctor seems doing other things on the same time. The response takes time. The domtor does.not answer all the questions.
5,"Good apps, reliable, and easy to use. 5 star!"
5,This app it is really helping for sure😊
5,Very helpful 👍👍👍👍👍👍👍
5,Good app for simple life
1,"Since the update, purchasing medicine for other person (family members) or even self are difficult. Seemed like they just want you to consult with their doctor. I uninstall immediately"
5,"I appreciate this app It help me during quarantine, when i need a medicines and in health facility on quarantine place not occupied"
5,Good and effective
3,"The app is good. It helps people to have a consultation with Specialist in an easy and less expensive way. However, there are no option for self-pick up medicine or an option that we can order the medicine straight to the med store. It is so uncomfotable to wait for the medicine's shipping for the next 4 days maximum, while suffering from the disease"
5,"really helpfull even we need consul in the middle of the night, the doctor was ready for it"
5,Good application for our healthy ⭐⭐⭐⭐⭐
5,"Super app , consultation with doctor and they sent the medicine within 1-2 hours ....awesome"
1,NO RECOMENDED!Buy medicine must have receipt.. even a no need medicine must include receipt... Apps for the easier buy medicine?? No that is not this apps.. Too complicated apps ever!
5,Best app ever
5,Great health app
4,Easy application. 👍
5,Great app as fast solution when we are not feeling well
5,Helpful in urgernt time
5,Quick response and helpful.
5,Nice. N always be update for variative.
4,Good but the medicine is quite expensive
5,"make it simple, fast, & easy"
5,You have to get this apps. Really helpful for our family.
5,Make all easy whennin urgent
5,"Help me so much, easier to consultation in harsh time."
5,"Good App, straight to the point"
1,"Worst Experience Trying to order swab test, the app shows an error but still got charged. have contacted the customer service and they said will email later regarding the problems. But till today there is no contact or email at all."
5,This apps really helpfull during pandemic.. very easy to used!!
4,Simple n express n very helfulllll
1,Worst service ever. Halodoc is not ready to handle the cashless insurance facility of Manulife. The cashless is useless. You have to wait for more than 3 days to get Halodoc approval to approve your request for cashless facility for each medical request. The list of hospital cashless facility is also not entirely listed in the apps yet. There are still many insurance that can do far better than Manulife cooperation with Halodoc. Do not be deceived by this apps that offer cashless facility.
4,"Customer service is very bad. Every time i called them, they were busy."
5,"Nice dok, thanks"
5,Good enough to chat with the health specialist. Better than we search from google.CMIW
