score,content_contractions,compound,neg,neu,pos,vader_rating,keyword
5,Thank you halodoc,0.3612,0.0,0.444,0.556,2,[]
5,"Best solution in your emergency. But maybe the price should be lower, even there is a range between low and high, the app always pick the highest.",-0.4588,0.216,0.657,0.127,-1,"[('app', 0.3832), ('price', 0.2682), ('emergency', 0.2502), ('range', 0.2206), ('solution', 0.1537)]"
5,Very helpful applications. It is easy and practical,0.7178,0.0,0.5,0.5,1,"[('applications', 0.6117)]"
5,"Very helpfull,especially for those who forget to bring routine medicine when travelling.. Just need less then 30 minutes from search to get delivered medicine..awsome..!",-0.2942,0.087,0.913,0.0,-1,"[('get delivered medicine', 0.6404), ('medicine', 0.4092), ('awsome', 0.0707), ('minutes', 0.0651), ('search', -0.0273)]"
4,Very good and efficient delivery,0.7397,0.0,0.324,0.676,2,"[('delivery', 0.6739)]"
5,Very good app,0.4927,0.0,0.385,0.615,2,[]
5,Best apps when you in need of dire consultation,0.296,0.211,0.493,0.296,1,"[('apps', 0.6707), ('consultation', 0.554), ('need', 0.1822)]"
5,Keep up the good work,0.4404,0.0,0.58,0.42,1,"[('work', 0.5023)]"
5,Good service Will use it again,0.4404,0.0,0.633,0.367,1,"[('service', 0.5177)]"
5,Good apps very helpful,0.7178,0.0,0.25,0.75,2,"[('apps', 0.671)]"
5,Halodoc always saves the day 👍🏻,0.0,0.0,1.0,0.0,0,"[('halodoc', 0.7141), ('day 👍', 0.3584)]"
5,One stop health solutions,-0.128,0.373,0.339,0.288,-1,"[('stop health solutions', 0.9098)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,Good easy to use,0.7003,0.0,0.256,0.744,2,[]
5,I like this application since there is option to choose instant delivery in 45 minutes,0.3612,0.0,0.848,0.152,1,"[('delivery', 0.5311), ('application', 0.3555), ('minutes', 0.2669), ('is option', 0.2309)]"
1,"Wrong order sent. told consumers to wait up to 7x24 hours, but to no avail. the problem is in the application and catalog view. bastard! return my money !",-0.9292,0.355,0.645,0.0,-1,"[('catalog view', 0.3711), ('hours', 0.3328), ('order', 0.3103), ('problem', 0.3002), ('told consumers', 0.2913)]"
1,Unsolved bugs since weeks ago. Cannot search medical services.,0.0,0.0,1.0,0.0,0,"[('bugs', 0.4529), ('services', 0.3299), ('weeks', 0.1533)]"
5,Very helpful and user friendly apps,0.7425,0.0,0.389,0.611,2,"[('apps', 0.6985), ('user', 0.237)]"
5,great ui ux,0.6249,0.0,0.328,0.672,2,"[('ui', 0.7236)]"
5,"Fastest response, easy to use two thumbs up",0.4404,0.0,0.707,0.293,1,"[('thumbs', 0.5761), ('response', 0.4281)]"
2,"Cannot even login. Got the code and working internet connection but it always says no internet connection. Tried again, it changes to expired code although the timer has not expired yet.",-0.4215,0.085,0.915,0.0,-1,"[('expired code', 0.53), ('working internet connection', 0.4128), ('internet connection', 0.3953), ('timer', 0.3623), ('code', 0.2385)]"
5,the UIUX is the best👑 Halodoc helps me a lot looking for online psychologists/psychiatrists,0.7783,0.0,0.657,0.343,1,"[('psychologists', 0.5236), ('psychiatrists', 0.5086), ('uiux', 0.3769), ('halodoc', 0.3293), ('lot', 0.1154)]"
5,"Helpfull, nice doctor, easy to get medicine",0.6908,0.0,0.467,0.533,2,"[('get medicine', 0.5743), ('doctor', 0.4983)]"
5,Very nice experience,0.4754,0.0,0.393,0.607,2,"[('experience', 0.4958)]"
5,The doctors are very helpful. Thanks halodoc. I can consul with doctor anytime.,0.7408,0.0,0.637,0.363,1,"[('thanks halodoc', 0.4064), ('doctor', 0.3819), ('doctors', 0.3576)]"
5,Very usefull app! 👍,0.0,0.0,1.0,0.0,0,"[('app', 0.6114), ('👍', 0.3168)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,Good app to find medicine within city !,0.4926,0.0,0.687,0.313,1,"[('find medicine', 0.625), ('app', 0.4434), ('city', 0.4393)]"
5,This app really helps. You are able to consult with a real doctor trough this app!,0.4914,0.0,0.825,0.175,1,"[('doctor trough', 0.3782), ('app', 0.3151)]"
5,The best healthcare app so far. I had my first consultation at 12 and order my medicines at 12.15 and got them at 12.50. Thank you Halodoc.,0.7717,0.0,0.789,0.211,1,"[('healthcare app', 0.5956), ('medicines', 0.3163), ('consultation', 0.2376), ('halodoc', 0.0875)]"
5,"the chat feature can give me the preliminary exam on my wound. if it goes bad, then I can decide to go to hospital to see the doctor",-0.5423,0.115,0.885,0.0,-1,"[('wound', 0.4794), ('exam', 0.3229), ('doctor', 0.2895), ('hospital', 0.2512), ('feature', 0.1603)]"
5,Very good aplication,0.4927,0.0,0.385,0.615,2,"[('aplication', 0.7657)]"
5,Good and useful apps,0.7003,0.0,0.256,0.744,2,"[('apps', 0.7718)]"
5,"Dokter good response, helpfull",0.4404,0.0,0.508,0.492,1,"[('helpfull', 0.4444), ('response', 0.3829)]"
5,Really help us moreover during pandemic 💖 Thank you,0.7713,0.0,0.476,0.524,2,"[('💖', 0.3151)]"
4,Sometimes rather slow,0.0,0.0,1.0,0.0,0,[]
1,Unreliable partner and their customer service does not have capability to solve the problem,-0.2263,0.164,0.727,0.109,-1,"[('customer service', 0.5221), ('problem', 0.3981), ('partner', 0.3455), ('have capability', 0.2238)]"
5,It is really good and convenient,0.4927,0.0,0.61,0.39,1,[]
4,First Impression is great,0.7184,0.0,0.25,0.75,2,"[('first impression', 0.8806)]"
4,Would give 5 star but app keep loading VA,0.0,0.0,1.0,0.0,0,"[('keep loading va', 0.5862), ('app', 0.4399), ('star', 0.3708)]"
5,Easy and helpful,0.6908,0.0,0.149,0.851,2,[]
5,Very Helpful Apps. Thank You.,0.7056,0.0,0.339,0.661,2,"[('apps', 0.646)]"
3,Should have a menu where we can download doctor diagnosis for reimbursement process Edit: Adding +1 star because CS customer centric attitude,0.0,0.0,1.0,0.0,0,"[('download doctor diagnosis', 0.673), ('reimbursement process edit', 0.5171), ('cs customer', 0.3181), ('menu', 0.238), ('attitude', 0.0461)]"
1,I have been trying to order the usual meds for my mom and dad for days and it keeps giving me error messages. chat box is useless as I could not get any answer for hours as well. please fix your app,0.0772,0.112,0.751,0.138,1,"[('error messages', 0.4893), ('chat box', 0.444), ('app', 0.3512), ('meds', 0.3433), ('dad', 0.105)]"
5,Swift service and delivery,0.2023,0.0,0.625,0.375,1,"[('delivery', 0.5665), ('service', 0.4522)]"
5,Delivered in 30 minutes. Good job. Thank you,0.6597,0.0,0.526,0.474,1,"[('minutes', 0.2342), ('job', 0.1831)]"
5,Easy and very useful,0.7264,0.0,0.247,0.753,2,[]
5,Good app.. very helpfull,0.4404,0.0,0.508,0.492,1,"[('app ..', 0.5536)]"
5,Usefull and bendy,0.0,0.0,1.0,0.0,0,"[('bendy', 0.7652), ('usefull', 0.5873)]"
5,Very helpfull apps to get Doctor advise when in emergency condition.,-0.3818,0.206,0.794,0.0,-1,"[('emergency condition', 0.5069), ('apps', 0.4229), ('get doctor', 0.2983)]"
5,This app really helped me. I Am so thankful in this occasion...,0.6948,0.0,0.699,0.301,1,"[('app', 0.4839), ('occasion', 0.2403)]"
5,Very easy to use.. great app,0.807,0.0,0.354,0.646,2,"[('use ..', 0.2654)]"
5,How to give tips or credit to courier / driver ?,0.3818,0.0,0.794,0.206,1,"[('courier', 0.4383), ('give tips', 0.4126), ('driver', 0.2988), ('credit', 0.2881)]"
5,"From consulting via chat with doctor to medicine delivery, everything went very smooth.. delivery only took about 30 minutes. Good job halodoc for providing good service",0.7003,0.0,0.805,0.195,1,"[('medicine delivery', 0.5256), ('job halodoc', 0.4742), ('.. delivery', 0.3765), ('service', 0.2573), ('doctor', 0.2361)]"
1,"Worst service ever. I bought medicines on April 28th 2022, AND IT NEVER DELIVERED till now (May 19th 2022). I contacted the CS, the shipping service, anything. Well, at the end, it refunded. I still have money here, and I do not know what to do. I do not want to use this app anymore. Trash 👎",-0.4976,0.085,0.881,0.034,-1,"[('bought medicines', 0.474), ('shipping service', 0.4017), ('app', 0.3536), ('service', 0.3467), ('april', 0.2257)]"
5,Very helpful and fast response. Doctor's analysis based on chat and picture but the diagnosis almost right.,0.2609,0.0,0.887,0.113,1,"[('diagnosis', 0.6317), ('doctor', 0.4016), ('analysis', 0.2272), ('response', 0.1841), ('picture', 0.1589)]"
5,Very helpfull when you need some medicine in immediate time.,0.0,0.0,1.0,0.0,0,"[('medicine', 0.5007), ('time', 0.1549)]"
5,Fast respond and very helpfull in this pandemic situation.,0.0,0.0,1.0,0.0,0,"[('respond', 0.3228), ('situation', 0.2098)]"
5,Very helpful apps. everyone should use this app,0.4754,0.0,0.694,0.306,1,"[('apps', 0.6313), ('app', 0.6116), ('everyone', 0.2135)]"
5,"What an useful app, especially when we are in need of health advices and medicines.",0.4404,0.0,0.828,0.172,1,"[('health advices', 0.5436), ('app', 0.5255), ('medicines', 0.4827), ('need', 0.1664)]"
1,"I feel disappointed because I got the medicine with high price but the worst things it was nearly expired date, there is no option to refund those medicine, I spent over 100k for Nearly Expired things, so awful !",-0.9523,0.315,0.685,0.0,-1,"[('expired date', 0.3977), ('expired things', 0.3618), ('medicine', 0.3302), ('price', 0.1744), ('option', 0.0741)]"
1,"Is it only me or Halodoc is having too much error with delivery? I experienced 2 issues within 1 week, 1st one was the store canceled my order with no notif and no action taken afterward, then I need to chat and call CS to get my transaction repurchased. 2nd due to the driver was not moving at all after 1hr being assigned. Turned out the driver was waaaaay too far from the store, and of course I needed to call the CS and only God knew when my meds would arrive.",-0.6124,0.073,0.905,0.022,-1,"[('halodoc', 0.4444), ('delivery', 0.3945), ('issues', 0.2842), ('order', 0.2696), ('transaction', 0.266)]"
5,Nice and fast,0.4215,0.0,0.417,0.583,2,[]
5,Helpful and easy,0.6908,0.0,0.149,0.851,2,[]
2,"I cannot chat with my doctor, the app says error loading the messages",-0.4019,0.184,0.816,0.0,-1,"[('messages', 0.4398), ('says error', 0.4289), ('app', 0.3701), ('doctor', 0.3488)]"
5,great app...user friendly,0.8074,0.0,0.12,0.88,2,"[('app', 0.614), ('user', 0.2467)]"
5,Very useful even in a case of emergency... Awesome,0.6901,0.164,0.378,0.459,1,"[('emergency', 0.4785), ('awesome', 0.2264), ('case', 0.1265)]"
5,easy and convinient,0.4404,0.0,0.408,0.592,2,"[('convinient', 0.7449)]"
5,"Excellent easy for customer, specially with payment metode (bca virtual account)",0.765,0.0,0.577,0.423,1,"[('payment metode', 0.4464), ('customer', 0.3423), ('account', 0.3266), ('bca', 0.2663)]"
5,excellent app for healthness consultancy,0.5719,0.0,0.519,0.481,1,"[('app', 0.4991), ('consultancy', 0.4338)]"
5,Really quick and simple to use,0.0,0.0,1.0,0.0,0,[]
1,"The WORST WORST APP. I ordered medicine for my mom, it should be delivered instant within 30-40mins But i have been waiting for 3 hours and the status was still ""confirmed"" I tried to cancel but somehow it said ""your order has been confirmed and will be proceed soon"" And keep saying that. I tried to use chat box BUT IT WAS SO USELESS, it just auto reply and did not helping at all! I called the CS and everytime they said ""currently there are no free agent which can help"" SUPER WASTE TIME N MONEY!",-0.9537,0.219,0.7,0.08,-1,"[('ordered medicine', 0.4564), ('app', 0.4038), ('be delivered instant', 0.3921), ('order', 0.3147), ('super waste time n money', 0.2739)]"
5,I got the necessary help immediately,0.4019,0.0,0.649,0.351,1,"[('help', 0.4176)]"
1,"It used to be ok but i just had consultant with dr umum, no med no help, done, no place to score or complain or return the money, i just delete my account and app, 1 star for wasting time and money",-0.9073,0.282,0.646,0.073,-1,"[('had consultant', 0.384), ('dr umum', 0.3818), ('app', 0.2547), ('account', 0.2079), ('wasting time', 0.1502)]"
5,easy way to consult and get the recipe,0.4404,0.0,0.707,0.293,1,"[('recipe', 0.7247), ('way', 0.1077)]"
2,Cannot intall the apps just now.,0.0,0.0,1.0,0.0,0,"[('apps', 0.5633)]"
5,great for the 1st order.,0.6249,0.0,0.494,0.506,2,"[('order', 0.3614)]"
4,Good aps good doctor,0.7003,0.0,0.256,0.744,2,"[('doctor', 0.6172)]"
5,easy to use and very functional,0.4404,0.0,0.633,0.367,1,[]
1,"ordering medic and i waiting for too long, and its over than estimated time, could you imagine the call center just answer with 'maaf ada masalah jaringan' excuse me? you kidding? you are a medical service, not a food service! Get it?",0.3678,0.0,0.919,0.081,1,"[('ordering medic', 0.614), ('maaf ada masalah jaringan', 0.4344), ('food service', 0.4064), ('call center', 0.3716), ('service', 0.3285)]"
5,"Proper, fast and good information 👍🙂🙏",0.6815,0.0,0.641,0.359,1,"[('information 👍 🙂', 0.5181)]"
5,"I was on the holiday with only my toddler when I got my vertigo so no one can help me. I talked to the dr from halo doc and get my medicine immidiately. Very easy to use and helps me alot, easy to pay with the link to gopay. Thank you halodoc.",0.9067,0.066,0.678,0.256,1,"[('vertigo', 0.639), ('halo doc', 0.2965), ('halodoc', 0.2419), ('gopay', 0.219), ('medicine', 0.1178)]"
5,Very easy & helpful,0.7397,0.0,0.242,0.758,2,[]
5,user friendly and connection with doctor n apotik very fast,0.4939,0.0,0.738,0.262,1,"[('doctor n apotik', 0.654), ('connection', 0.3664), ('user', 0.2124)]"
5,Very helping in every situation,0.3597,0.0,0.616,0.384,1,"[('situation', 0.3292)]"
1,"Order medicines, 2 hours waiting.. Cannot cancel, Chat to Customer service not get any respond. After 2 hours, tried to call the Customer Service, told me that there were error in Gojek's. OMG, 2 hours + wasted IDR 12k to call you, so 1 star for you! Bye!",-0.695,0.122,0.845,0.033,-1,"[('order medicines', 0.444), ('gojek', 0.4212), ('wasted idr 12k', 0.3493), ('customer service', 0.3208), ('were error', 0.2793)]"
1,"installing this app just to uninstall it. I cannot link to my gopay. It said my number has not connected to any gopay account, yet I have received gopay otp to connect with the apps. I tried to reconnect it again several time and still going nowhere. uninstall then",0.0772,0.0,0.974,0.026,1,"[('gopay account', 0.5488), ('have received gopay', 0.4773), ('gopay', 0.4597), ('app', 0.2883), ('apps', 0.2351)]"
2,I have been using this app for long time then I need uninstalled it because there is no space in my phone. After that I tried to install using different phone. But it said I could not install halodoc,-0.1531,0.04,0.96,0.0,-1,"[('install halodoc', 0.6773), ('app', 0.3143), ('phone', 0.2338), ('space', 0.1013), ('time', 0.0749)]"
5,Very useful app,0.4927,0.0,0.385,0.615,2,"[('app', 0.7275)]"
5,Very helpful & easy,0.7397,0.0,0.242,0.758,2,[]
5,"easy, usefull, updated",0.4404,0.0,0.408,0.592,2,[]
5,"Fast respon, and dokter always standby",0.0,0.0,1.0,0.0,0,"[('dokter', 0.5159), ('respon', 0.2354)]"
5,"Reliable & convenient, keep it up halodoc!",0.0,0.0,1.0,0.0,0,[]
5,very fruitful and friendly,0.5367,0.0,0.464,0.536,2,[]
4,So far really helpful to chat with professional,0.5198,0.0,0.676,0.324,1,[]
5,"Amazing Application, very helpful",0.7841,0.0,0.225,0.775,2,"[('amazing application', 0.7626)]"
5,Very helpful in every critical moment. Thanks.,0.5709,0.187,0.325,0.488,1,"[('moment', 0.279), ('thanks', 0.2771)]"
5,"nice, media consultation about health",0.4215,0.0,0.588,0.412,1,"[('media consultation', 0.735), ('health', 0.5536)]"
5,"This app really really makes my life easier... You deserve 10 stars , brilliant",0.765,0.0,0.645,0.355,1,"[('app', 0.4799), ('stars', 0.2918), ('life', 0.223)]"
1,Medicine brands are extremely limited,-0.2944,0.354,0.646,0.0,-1,"[('medicine brands', 0.8011)]"
3,"So far it is been helpful. But the map is unreliable and the drivers seem to not reading the note. I could not find my orders until now. The info just shows whether it has been delivered or not, but no info who accepted it picture of the person who accepted it. So when they delivered the medicine to the wrong person, to track it was such a hassle. Maybe fix that part.",0.5239,0.051,0.832,0.117,1,"[('map', 0.284), ('medicine', 0.2786), ('note', 0.2197), ('orders', 0.2164), ('drivers', 0.1759)]"
1,"Your app really need serious upgrading so much. I made appointment to doctor in hospital, turned out the doctor is switched to another doctor schedule without notifying me. Also the hospital took ages to confirm my appointment, they said because your system also slow as hell. End up I cancelled my appointment on this app and made manually appointment at the hospital for next week. Imagine I have to hold my pain till next week. Think again what is your purpose made this app.",-0.888,0.125,0.875,0.0,-1,"[('doctor schedule', 0.5034), ('appointment', 0.4696), ('made appointment', 0.4212), ('app', 0.4204), ('doctor', 0.3845)]"
5,Fast and responsive,0.3612,0.0,0.444,0.556,2,[]
1,"I have valid prescription from doctor and upload it to the app, but the app reject it, so I could not buy the medicine. I do not see any use of this feature. My previous review has been deleted.",-0.5499,0.085,0.915,0.0,-1,"[('prescription', 0.4853), ('app', 0.3666), ('medicine', 0.3003), ('review', 0.2395), ('doctor', 0.2328)]"
5,"Great,, please put more discount or promo options",0.7506,0.0,0.484,0.516,2,"[('promo options', 0.7526), ('discount', 0.5925)]"
1,"Cannot order medicine with prescription..i used allianz as payment, when i click order, the apps return to homescreen and my order stay in the basket. Buggy apps",0.0,0.0,1.0,0.0,0,"[('order medicine', 0.5666), ('prescription', 0.5272), ('order', 0.3575), ('used allianz', 0.354), ('apps', 0.3498)]"
1,Its not loading,0.0,0.0,1.0,0.0,0,[]
4,Easy to understand,0.4404,0.0,0.408,0.592,2,[]
4,"Mostly it work as expected, there is a time the payment not working.",0.0,0.0,1.0,0.0,0,"[('payment', 0.5115), ('time', 0.0802)]"
5,This apps is superb. Easy to use and very helpful. Super recommended.,0.9463,0.0,0.3,0.7,2,"[('apps', 0.681), ('super', 0.1329)]"
1,"App always crash, cannot order my medication. Everytime I click order button it always direct me to the homepage.",-0.4019,0.13,0.87,0.0,-1,"[('click order button', 0.4187), ('app', 0.3813), ('crash', 0.3673), ('homepage', 0.3622), ('medication', 0.2611)]"
5,Usefull and helpfull apps,0.0,0.0,1.0,0.0,0,"[('usefull', 0.6495), ('apps', 0.6093)]"
5,It is good to deliver the medicine but no with the consultation,-0.2144,0.19,0.678,0.132,-1,"[('consultation', 0.5091), ('medicine', 0.3826)]"
5,Simply and easy to use,0.4404,0.0,0.58,0.42,1,[]
3,"The app is ok, easy enough to navigate, but the quality of the doctors has diminished recently. I used to get accurate diagnosis from doctors here even the ones who were still ""Free"" at the beginning. Now I can pay up to hundreds of IDR just to get rude doctors who just do not care, spend the 30 minutes only replying twice, or just do not know what is wrong with me. Please select your doctors well.",-0.2942,0.14,0.733,0.127,-1,"[('app', 0.4108), ('diagnosis', 0.3566), ('doctors', 0.3341), ('idr', 0.2379), ('quality', 0.1203)]"
5,Good and usefull,0.4404,0.0,0.408,0.592,2,[]
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,Nice Apps. Really helpfull. Thank you,0.6786,0.0,0.418,0.582,2,"[('apps', 0.5819)]"
5,Helpfull and usefull,0.0,0.0,1.0,0.0,0,[]
5,Good aplcation for helping me,0.6249,0.0,0.37,0.63,2,"[('aplcation', 0.6504)]"
5,Quick & very helpful,0.4754,0.0,0.492,0.508,2,"[('quick', 0.6059)]"
5,"Life savior, thank youu",0.3612,0.0,0.545,0.455,1,"[('life savior', 0.7521), ('thank youu', 0.5089)]"
5,Very helpful & practical,0.4754,0.0,0.492,0.508,2,[]
5,Very usefull and easy to communicate with doctor without in line in the hospital. Many thanks Halodoc,0.7239,0.0,0.712,0.288,1,"[('hospital', 0.4516), ('doctor', 0.377), ('thanks halodoc', 0.3324), ('line', 0.1753)]"
5,"First time but good experiance, thanks",0.8271,0.0,0.342,0.658,2,"[('experiance', 0.4133), ('thanks', 0.3363), ('time', 0.097)]"
5,Easy to use.,0.4404,0.0,0.408,0.592,2,[]
5,easy & fast,0.4404,0.0,0.408,0.592,2,[]
5,I admire halo doc for connecting professional without distance matter. Thanks,0.1581,0.239,0.549,0.213,1,"[('admire halo doc', 0.5936), ('connecting professional', 0.5734), ('distance matter', 0.2947), ('thanks', 0.0963)]"
5,Fast & Helpful,0.4215,0.0,0.417,0.583,2,"[('fast', 0.6154)]"
5,"Doctoc was response quickly, Thanks dok",0.4404,0.0,0.633,0.367,1,"[('doctoc', 0.7993), ('thanks dok', 0.3695), ('was response', 0.2643)]"
4,1st use this app. So far so easy,0.6213,0.0,0.632,0.368,1,"[('app', 0.5939)]"
1,System issue when ordering the medicine. It not solve until now (3days). Caused we cannot get the antivirus which is very important for my daughter.,0.1283,0.06,0.862,0.078,1,"[('system issue', 0.5118), ('antivirus', 0.5083), ('medicine', 0.3438), ('daughter', 0.1252)]"
5,Quick response.. Thanks dokter Yohanes,0.4404,0.0,0.58,0.42,1,"[('thanks dokter yohanes', 0.8595), ('response', 0.3857)]"
5,Thank you so much,0.3612,0.0,0.545,0.455,1,[]
5,Please inform how to buy Fapiviravir,0.3182,0.0,0.685,0.315,1,"[('buy fapiviravir', 0.9199)]"
5,Really helpful for me to find a medicine in urgent situation,0.5984,0.0,0.648,0.352,1,"[('medicine', 0.5873), ('situation', 0.1722)]"
5,The doctor was responsive and the medications were aligned with the national standard 👍,0.3612,0.0,0.848,0.152,1,"[('medications', 0.4711), ('doctor', 0.3731), ('standard 👍', 0.2608)]"
5,Fast and to the point,0.0,0.0,1.0,0.0,0,"[('point', 0.3842)]"
5,Very helpful telemedicine,0.4754,0.0,0.393,0.607,2,"[('telemedicine', 0.8709)]"
4,So far still good,0.4877,0.0,0.487,0.513,2,[]
5,"Best apps... easy, responsive, effective",0.9136,0.0,0.073,0.927,2,"[('apps', 0.698)]"
5,Problem solved Thank you,0.2263,0.325,0.12,0.554,2,"[('problem', 0.5134)]"
5,Good service and fast,0.4404,0.0,0.508,0.492,1,"[('service', 0.615)]"
5,A very helpful app! Thanks for making it easy and simple 😁,0.909,0.0,0.491,0.509,2,"[('app', 0.5074), ('thanks', 0.2221), ('😁', 0.1883)]"
5,"Very simple, efficient and fast response. Reliable apps",0.4728,0.0,0.695,0.305,1,"[('apps', 0.583), ('response', 0.2502)]"
5,"Very helpfull, easy communication, and easy to purchase the medicines.",0.7251,0.0,0.568,0.432,1,"[('medicines', 0.4903), ('communication', 0.2138)]"
4,Really helpfull when I cannot go outside to buying medicine,0.0,0.0,1.0,0.0,0,"[('buying medicine', 0.6469)]"
5,Clear n fast,0.3818,0.0,0.435,0.565,2,"[('clear', 0.6187)]"
5,This apps is so much helping,0.3566,0.0,0.669,0.331,1,"[('apps', 0.6383)]"
1,Cannot sign up bruh,0.0,0.0,1.0,0.0,0,"[('bruh', 0.4727)]"
5,This app is really helpfull for me and my whole family at home specially about medicines.. keep up the good work..,0.4404,0.0,0.873,0.127,1,"[('app', 0.4667), ('medicines ..', 0.3517), ('home', 0.1458), ('family', 0.1457), ('work', 0.1329)]"
5,"Got a bit confused at first on how to move around the app, but it turned out pretty easy",0.8176,0.064,0.62,0.316,1,"[('app', 0.4688), ('bit', 0.078)]"
5,Professional and helpful response.,0.4215,0.0,0.517,0.483,1,"[('response', 0.4942)]"
5,Thank you for helping us,0.5719,0.0,0.39,0.61,2,[]
5,"Good app, good responses",0.7003,0.0,0.256,0.744,2,"[('app', 0.6288), ('responses', 0.4127)]"
5,Easy to use,0.4404,0.0,0.408,0.592,2,[]
5,Good for emeregency help,0.6808,0.0,0.263,0.737,2,"[('emeregency help', 0.8104)]"
5,Very helpfull apps,0.0,0.0,1.0,0.0,0,"[('apps', 0.7095)]"
1,"I have just deleted my account and uninstalled this app. You better delete all my details in your database, as you and I are the same: we do not want me to bring lawsuit into this, so you better delete all the data you have on me in your system. Yes, your app, products, and services have disappointed me that much. also, people, do NOT waste your time on this app. try the alternative (al******r). good riddance",0.8311,0.07,0.773,0.157,1,"[('app', 0.4192), ('riddance', 0.3401), ('account', 0.3018), ('database', 0.2712), ('details', 0.2013)]"
5,Love this app,0.6369,0.0,0.323,0.677,2,"[('app', 0.7502)]"
2,Not easy user,-0.3412,0.546,0.454,0.0,-2,"[('user', 0.5849)]"
5,"Helpfull, easy to use",0.4404,0.0,0.508,0.492,1,[]
5,Work as intended,0.0,0.0,1.0,0.0,0,[]
1,"I have a bad experience of receiving an expired medicine, and no good response for my complain, it is not a matter of money, it is a matter of trust. I have already uninstalled this app.",-0.6224,0.216,0.684,0.1,-1,"[('app', 0.3567), ('medicine', 0.2969), ('complain', 0.1445), ('trust', 0.1056), ('experience', 0.0875)]"
1,"Tried to help a friend ordered medicine for his child who lives outside Jakarta, but it took long time to process the order (3 days) and delivered it. I placed the order last Saturday, and it has not arrived yet until today. What is going on? tried to place complain but the virtual chat does not help much! I think the app only works well in Jakarta or cities around Java, but it does not solve the problem for those who live outside Java. What a pity.",-0.5761,0.113,0.802,0.085,-1,"[('ordered medicine', 0.4278), ('jakarta', 0.3784), ('app', 0.2983), ('order', 0.2947), ('java', 0.2569)]"
5,"very helpful , good experience chat with telemedicine doctor, fast response",0.7397,0.0,0.59,0.41,1,"[('telemedicine doctor', 0.6639), ('experience chat', 0.4196), ('response', 0.1951)]"
5,Easy to use and very helpfull,0.4404,0.0,0.633,0.367,1,[]
5,Really helpful app,0.4754,0.0,0.393,0.607,2,"[('app', 0.6884)]"
1,"Disappointed experience in isoman package, less coordination in halodoc team n unpleasant service for pcr home feature..",-0.7351,0.292,0.708,0.0,-1,"[('pcr home feature', 0.5158), ('halodoc team', 0.4721), ('package', 0.3406), ('service', 0.2755), ('experience', 0.216)]"
5,Very good and very useful,0.7496,0.0,0.32,0.68,2,[]
2,"I cannot download to pdf , the doctor recomendation and doctor notes. The pdf keep download unsuccesful",0.0,0.0,1.0,0.0,0,"[('doctor notes', 0.5808), ('pdf', 0.4933), ('doctor recomendation', 0.432)]"
5,Very helpful so far. Thanks for the good work!,0.8578,0.0,0.388,0.612,2,"[('thanks', 0.2214), ('work', 0.0888)]"
5,Best of the best,0.8555,0.0,0.192,0.808,2,[]
5,Good app. So helpful,0.7178,0.0,0.25,0.75,2,"[('app', 0.6214)]"
5,Very helpful app 👍,0.4754,0.0,0.564,0.436,1,"[('app 👍', 0.7375)]"
5,"Running so well, can consult clearly",0.624,0.0,0.44,0.56,2,[]
5,Fast and good response,0.4404,0.0,0.508,0.492,1,"[('response', 0.5928)]"
5,Really helpfull. My question is why there is no drugstore' name?,-0.296,0.18,0.82,0.0,-1,"[('drugstore', 0.7283), ('name', 0.1591), ('question', 0.0714)]"
5,Very helpfull in this condition. Thank you,0.3612,0.0,0.706,0.294,1,"[('condition', 0.487)]"
5,Great apps and very effecient,0.6249,0.0,0.494,0.506,2,"[('apps', 0.7144)]"
5,helpful n quick response,0.4215,0.0,0.517,0.483,1,"[('response', 0.5352), ('n', 0.3616)]"
5,thanks for being helpful in the right time,0.6908,0.0,0.513,0.487,1,"[('thanks', 0.3255), ('time', 0.2417)]"
5,Good apps. so helpful,0.7178,0.0,0.25,0.75,2,"[('apps', 0.6871)]"
5,Easy way to consult with doctor and get medicine we need.,0.4404,0.0,0.775,0.225,1,"[('get medicine', 0.5707), ('doctor', 0.3901), ('way', 0.1716)]"
5,Helpful when you at home and need a doctor,0.4215,0.0,0.741,0.259,1,"[('doctor', 0.4458), ('home', 0.2681)]"
5,Halodoc makes life so much easier. Thank you 🙏🏼,0.7043,0.0,0.653,0.347,1,"[('halodoc', 0.7221), ('makes life', 0.32), ('🙏', 0.1736)]"
5,"Good apps, very helpful in current situation",0.7178,0.0,0.455,0.545,2,"[('apps', 0.6604), ('situation', 0.1563)]"
4,Better than before,0.4404,0.0,0.408,0.592,2,[]
5,This app has grown for the better in the years i had since first saw i launch! Fantastic! Recommended!!,0.858,0.0,0.628,0.372,1,"[('app', 0.5835), ('years', 0.1943)]"
5,Works well with my insurance,0.2732,0.0,0.656,0.344,1,"[('insurance', 0.6326)]"
5,Very helpful for me.,0.4754,0.0,0.492,0.508,2,[]
5,simple and easy to use,0.4404,0.0,0.58,0.42,1,[]
5,Helpful Apps Thanks,0.6908,0.0,0.149,0.851,2,"[('apps thanks', 0.8421)]"
5,Good advise and reasonable,0.4404,0.0,0.508,0.492,1,"[('advise', 0.7148)]"
