content,score,content_contractions
"yang punya hewan peliharan gausah khawatir skrg ada vet juga di klikdokter, gausah repot bawa anabulku ke dokter hewan langsung hehehe",5,"yang punya hewan peliharan gausah khawatir skrg ada vet juga di klikdokter, gausah repot bawa anabulku ke dokter hewan langsung hehehe"
"klikdokter paling the bestt!! urusan konsultasi dokter larinya pasti kesini, suka sama respon dari dokter, tidak mengecewakan",5,"klikdokter paling the bestt!! urusan konsultasi dokter larinya pasti kesini, suka sama respon dari dokter, tidak mengecewakan"
"Kalau dibandingkan dengan telehealth lain.. ini app yang teroke sihh terutama soal layanan dokternya, attitudenya bagus dan profesional",5,"Kalau dibandingkan dengan telehealth lain.. ini app yang teroke sihh terutama soal layanan dokternya, attitudenya bagus dan profesional"
"Honest review sebagai pengguna lama klikdokter, suka banyak promo yg jd salah satu alesan aku berobat disini dann dokternya emg berkualitas. Pantes buat dapet bintang 5!",5,"Honest review sebagai pengguna lama klikdokter, suka banyak promo yg jd salah satu alesan aku berobat disini dann dokternya emg berkualitas. Pantes buat dapet bintang 5!"
"aplikasi telehealth terbaik yang pernah gw coba, khususnya waktu sesi chat dengan dokter itu biasanya kl di telehealth kendala respon yang lama tp disini dokternya fastresp dan baik bgt ditanya macem2 ttp menjawab dengan ramah",5,"aplikasi telehealth terbaik yang pernah gw coba, khususnya waktu sesi chat dengan dokter itu biasanya kl di telehealth kendala respon yang lama tp disini dokternya fastresp dan baik bgt ditanya macem2 ttp menjawab dengan ramah"
tinggal klik klik aja udh langsung bisa berobat + ga ribet hrs cari apotek dimana soalnya udh lengkap bisa tebus resep,5,tinggal klik klik aja udh langsung bisa berobat + ga ribet hrs cari apotek dimana soalnya udh lengkap bisa tebus resep
"mantap nih klikdokter ga expect dapet well treated sama dokternya, apalagi bisa komunikasi lewat video call jd gampang dehh konsulnya",5,"mantap nih klikdokter ga expect dapet well treated sama dokternya, apalagi bisa komunikasi lewat video call jd gampang dehh konsulnya"
"Fitur video call waktu konsultasi memudahkan saya, jadi berasa konsul langsung apalagi bisa ngobrol sama dokternya yg super ramah ❤❤",5,"Fitur video call waktu konsultasi memudahkan saya, jadi berasa konsul langsung apalagi bisa ngobrol sama dokternya yg super ramah ❤❤"
Cepat bukanya,5,Cepat bukanya
Aplikasi error terus. Tidak jelas. Gak recommend deh,1,Aplikasi error terus. Tidak jelas. Gak recommend deh
"Aplikasi yang sering error dan sangat tidak membantu. Tidak usah install, buang waktu",1,"Aplikasi yang sering error dan sangat tidak membantu. Tidak usah install, buang waktu"
"Sudah pesan janji dokter berkali kali, tapi gagal terus.. yang dokter sibuk, gabisa tersambung, dokter sudah tutup (padahal diketerangan masih buka), dll.. jelek banget",1,"Sudah pesan janji dokter berkali kali, tapi gagal terus.. yang dokter sibuk, gabisa tersambung, dokter sudah tutup (padahal diketerangan masih buka), dll.. jelek banget"
kereeeen klikdokter bisa banget bantu aku buat berobat ditengah malem terus bisa sekalian tebus resep jd serba mudah🥰 terimakasih klikdokter,5,kereeeen klikdokter bisa banget bantu aku buat berobat ditengah malem terus bisa sekalian tebus resep jd serba mudah🥰 terimakasih klikdokter
Aplikasi sampah 5x order dokternya ga ada yg trima dana malah berkurang,1,Aplikasi sampah 5x order dokternya ga ada yg trima dana malah berkurang
"Setelah konsul dan pesen obat lewat klikdokter, kita tinggal duduk manis aja nunggu paketan sampe rumah",5,"Setelah konsul dan pesen obat lewat klikdokter, kita tinggal duduk manis aja nunggu paketan sampe rumah"
"Telemedicine andalan aku skrg klikdokter, paling bagus paling menarik..",5,"Telemedicine andalan aku skrg klikdokter, paling bagus paling menarik.."
"Buat ngerasain bagusnya sesuatu emang perlu dicoba dulu, awalnya aku underestimate sama KlikDokter, tapi ternyata setelah coba pake bagus juga dari berbagai aspeknya.",5,"Buat ngerasain bagusnya sesuatu emang perlu dicoba dulu, awalnya aku underestimate sama KlikDokter, tapi ternyata setelah coba pake bagus juga dari berbagai aspeknya."
"Kita bebas memilih mau konsul dengan dokter yg mana, bebas sesuai pilihan kita, jadi nyaman kaan..",5,"Kita bebas memilih mau konsul dengan dokter yg mana, bebas sesuai pilihan kita, jadi nyaman kaan.."
"Aplikasi kesehatan tuh banyak kompetitornya, tp yg pas dihati cuma klikdokter.",5,"Aplikasi kesehatan tuh banyak kompetitornya, tp yg pas dihati cuma klikdokter."
"Selain buat janji sama dokter, kita juga bisa booking rs via klikdokter👍🏻",5,"Selain buat janji sama dokter, kita juga bisa booking rs via klikdokter👍🏻"
"banyak banget artikel kesehatan ter up to date di klikdokter, jd fresh ilmunya gaiss",5,"banyak banget artikel kesehatan ter up to date di klikdokter, jd fresh ilmunya gaiss"
"Sekarang lagi musim bgt sakit, tapi tenang aja sih karena kalo mau konsultasi tinggal pake klikdokter aja…",5,"Sekarang lagi musim bgt sakit, tapi tenang aja sih karena kalo mau konsultasi tinggal pake klikdokter aja…"
"Kirain temen gw gimmick doang bilang konsultasi di klikdokter nyaman & enak, ternyata rill cuy, gw dah rasain sendiri",5,"Kirain temen gw gimmick doang bilang konsultasi di klikdokter nyaman & enak, ternyata rill cuy, gw dah rasain sendiri"
"kalo udah suka sama sesuatu, gue bakalan continue pakee, termasuk aplikasi klikdokter yg servicenya oke",5,"kalo udah suka sama sesuatu, gue bakalan continue pakee, termasuk aplikasi klikdokter yg servicenya oke"
"Bintang 5 sih buat klikdokter, pelayanannya the best menurutku",5,"Bintang 5 sih buat klikdokter, pelayanannya the best menurutku"
"Siapa sih yg gasuka promo, di klikdokter banyak bgt promo nya loh guyss",5,"Siapa sih yg gasuka promo, di klikdokter banyak bgt promo nya loh guyss"
"sekeluarga bapilll, baru aja masuk musim hujan padahal. alhasil konsul klikdokter lagi dan lagi wkwkwk, dokternya baik bgt akhirnya w konsulin sekeluarga gt di satu dokter XD baik bgt dan gercepp",5,"sekeluarga bapilll, baru aja masuk musim hujan padahal. alhasil konsul klikdokter lagi dan lagi wkwkwk, dokternya baik bgt akhirnya w konsulin sekeluarga gt di satu dokter XD baik bgt dan gercepp"
"alhamdulillah ada klikdokter jd ga kuatir dah w asam lambung gaenak gini, konsul udah dan obat jg udah otw. sangat helpful",5,"alhamdulillah ada klikdokter jd ga kuatir dah w asam lambung gaenak gini, konsul udah dan obat jg udah otw. sangat helpful"
"dokter spesialis apa aja ada ya ini di klikdokter, bau baunya mah bakal jd app telemedicine kecintaan saya",5,"dokter spesialis apa aja ada ya ini di klikdokter, bau baunya mah bakal jd app telemedicine kecintaan saya"
konsulin anabul ke vet di klikdokter alhamdulillah sangat terbantu karena dokternya fastrep dan solutif bgt,5,konsulin anabul ke vet di klikdokter alhamdulillah sangat terbantu karena dokternya fastrep dan solutif bgt
Kalo bisa online napa harus ribet pergi berobat offline? aku cukup pake klikdokter aja xixi,5,Kalo bisa online napa harus ribet pergi berobat offline? aku cukup pake klikdokter aja xixi
"Aplikasi KlikDokter sejauh ini yang paling enak dipandang interfacenya, terus gampang jg digunainnyaaa",5,"Aplikasi KlikDokter sejauh ini yang paling enak dipandang interfacenya, terus gampang jg digunainnyaaa"
dokter di klikdokter betulan baik-baik dan gercep-gercep banget sampe heran w,5,dokter di klikdokter betulan baik-baik dan gercep-gercep banget sampe heran w
"Bapakku gaenak badan aku udah khawatir aja, tak suruh konsul klikdokter terus mau wkwkwk. katanya dokternya baik dan ga galak wkwk, jadi tenang wes ninggalin ortu di rumah karena udah ngerti telehealth",5,"Bapakku gaenak badan aku udah khawatir aja, tak suruh konsul klikdokter terus mau wkwkwk. katanya dokternya baik dan ga galak wkwk, jadi tenang wes ninggalin ortu di rumah karena udah ngerti telehealth"
"baru kali ini konsul online sama dokter, balesannya secepet ini dan enak bgt baikkk. otw pindah hati ke klikdokter deh aku",5,"baru kali ini konsul online sama dokter, balesannya secepet ini dan enak bgt baikkk. otw pindah hati ke klikdokter deh aku"
sekeluarga ketagihan konsul di klikdokter wkwkwk. kata mamaku enak soalnya dokternya baik baik HAHAHA,5,sekeluarga ketagihan konsul di klikdokter wkwkwk. kata mamaku enak soalnya dokternya baik baik HAHAHA
"pelayanan klikdokter sejauh ini masih nomor satuw di hati gweee, soalnya appnya lengkap dan dokternya the bestt",5,"pelayanan klikdokter sejauh ini masih nomor satuw di hati gweee, soalnya appnya lengkap dan dokternya the bestt"
user friendly banget ya ini klikdokter soalnya bundaku aja langsung paham diajarin sekali,5,user friendly banget ya ini klikdokter soalnya bundaku aja langsung paham diajarin sekali
"kayanya cuma klikdokter deh yang dokternya available kapan aja... pernah ada emergency subuh2 trus langsung terbantu lewat konsul dokter di klikdokter. salut bngt, thank you ya klikdokter huhu",5,"kayanya cuma klikdokter deh yang dokternya available kapan aja... pernah ada emergency subuh2 trus langsung terbantu lewat konsul dokter di klikdokter. salut bngt, thank you ya klikdokter huhu"
"availability dokter klikdokter luar biasa dah wkwkwk, ada aja yg online sampai tengah malem. malah dokter spesialisnya juga lengkapp, mantepp",5,"availability dokter klikdokter luar biasa dah wkwkwk, ada aja yg online sampai tengah malem. malah dokter spesialisnya juga lengkapp, mantepp"
Keluar terus,1,Keluar terus
di musim hujan kaya gini harus sering2 stok obat dan sekaliny drop boleh diabaikan. cuma di klikdokter saya percayain buat memenuhi kebutuhan tsb 😇🙌,5,di musim hujan kaya gini harus sering2 stok obat dan sekaliny drop boleh diabaikan. cuma di klikdokter saya percayain buat memenuhi kebutuhan tsb 😇🙌
nahh aplikasi teledoc begini yang gw cari. gk gampang crash atau lag tiba2 pas sesi sm dokternya. sama sekali gk pernah ngecewain!,5,nahh aplikasi teledoc begini yang gw cari. gk gampang crash atau lag tiba2 pas sesi sm dokternya. sama sekali gk pernah ngecewain!
"gw pribadi ngerasa kebantu bgt sama aplikasi klikdokter ini, jam berapa pun dokter disini selalu ready.",5,"gw pribadi ngerasa kebantu bgt sama aplikasi klikdokter ini, jam berapa pun dokter disini selalu ready."
ga perlu mikir dua kali buat install klikdokter terjamin pokoknya kualitas dokter dan pelayanannya,5,ga perlu mikir dua kali buat install klikdokter terjamin pokoknya kualitas dokter dan pelayanannya
Suka banget pilihan dokter spesialisnya di Klikdokter lengkapp ada drh juga dong wow deh!!,5,Suka banget pilihan dokter spesialisnya di Klikdokter lengkapp ada drh juga dong wow deh!!
sekeluarga pd pake klikdokter ... selalu memuaskan dan pilihan dokter spesialisnya banyak,5,sekeluarga pd pake klikdokter ... selalu memuaskan dan pilihan dokter spesialisnya banyak
makasi Klikdokter udah bantu adik saya berobat online hihi maklum dia suka takut ketemu dokter langsung sungguh app yg instan dan solutif,5,makasi Klikdokter udah bantu adik saya berobat online hihi maklum dia suka takut ketemu dokter langsung sungguh app yg instan dan solutif
KlikDokter semua adaaa dokter spesialis dan Health Tools-nya juga sesuai sama yang aku butuhin,5,KlikDokter semua adaaa dokter spesialis dan Health Tools-nya juga sesuai sama yang aku butuhin
pelayanan tiada duanya lah klikdokter ini. fiturnya banyak banget yg bisa kita pake dari janji dokter smpe bisa buat janji medis,5,pelayanan tiada duanya lah klikdokter ini. fiturnya banyak banget yg bisa kita pake dari janji dokter smpe bisa buat janji medis
berbulan2 udh langganan klikdokter jarang bgt mengecewakan. recomended buat yg males keluar rumah tpi perlu berobat,5,berbulan2 udh langganan klikdokter jarang bgt mengecewakan. recomended buat yg males keluar rumah tpi perlu berobat
KlikDokter mempermudah kebutuhan saya tiap ada perlu beli obat. gk perlu susah2 lg ke apotik,5,KlikDokter mempermudah kebutuhan saya tiap ada perlu beli obat. gk perlu susah2 lg ke apotik
Aplikasi kesehatan yang jadi opsi pertamaku kalau sakit soalnya gampang aksesnya,5,Aplikasi kesehatan yang jadi opsi pertamaku kalau sakit soalnya gampang aksesnya
gw yakin org tua di luar sana juga bisa make app klikdokter karena ui nya mudah dipahami,5,gw yakin org tua di luar sana juga bisa make app klikdokter karena ui nya mudah dipahami
"aku pernah konsul di app lain, tapi dokternya nggak nyambung :( untung klikdokter dokternya mudeng semua",5,"aku pernah konsul di app lain, tapi dokternya nggak nyambung :( untung klikdokter dokternya mudeng semua"
tersuka kalau konsul di klikdokter karena loadingnya ga pake lama,5,tersuka kalau konsul di klikdokter karena loadingnya ga pake lama
"klikdokter ini cocok untuk pertolongan pertama saat sakit, apalagi pas sakitnya malem2",5,"klikdokter ini cocok untuk pertolongan pertama saat sakit, apalagi pas sakitnya malem2"
Bakal terus ngandelin klikdokter buat konsultasi kesehatan karena dokternya baik-baik,5,Bakal terus ngandelin klikdokter buat konsultasi kesehatan karena dokternya baik-baik
"ga cuma buat konsul sederhana, konsul spesialis juga bisa langsung sm klikdokter, keren deh pokoknyaa",5,"ga cuma buat konsul sederhana, konsul spesialis juga bisa langsung sm klikdokter, keren deh pokoknyaa"
"cocok bgt sm klikdokter karena pelayanannya selalu berkembang, mantap deh",5,"cocok bgt sm klikdokter karena pelayanannya selalu berkembang, mantap deh"
"jujur, aku jarang bgt pake app beginian, tapi karena klikdokter menarik, aku jadi ikutan pake deh",5,"jujur, aku jarang bgt pake app beginian, tapi karena klikdokter menarik, aku jadi ikutan pake deh"
ramah-ramah & profesional dokter di klikdokter. sangat solutif dan selalu ngasih resep dokter yg bs kita tebus,5,ramah-ramah & profesional dokter di klikdokter. sangat solutif dan selalu ngasih resep dokter yg bs kita tebus
"minggu kmrn sekeluarga kena covid terus sahabat saya ngenalinlah app klikdokter, cobain beli paket isomannya ternyata worth it dtambah dapet voucher konsul dokter + gratis ongkir makin cepetlah kita sekeluarga sembuhnya. Thanks klikdokter",5,"minggu kmrn sekeluarga kena covid terus sahabat saya ngenalinlah app klikdokter, cobain beli paket isomannya ternyata worth it dtambah dapet voucher konsul dokter + gratis ongkir makin cepetlah kita sekeluarga sembuhnya. Thanks klikdokter"
"aduuh adik kak jiiil, berobat di klikdokter beneran nyaman banget adik kak jil",5,"aduuh adik kak jiiil, berobat di klikdokter beneran nyaman banget adik kak jil"
"Kemana aja sih aku baru tau ada telehealth klikdokter ini?!! pelayanannya bintang 5, dokternya baik dan sama sekali ga ngejudge aku sebagai pasien",5,"Kemana aja sih aku baru tau ada telehealth klikdokter ini?!! pelayanannya bintang 5, dokternya baik dan sama sekali ga ngejudge aku sebagai pasien"
"terbaik lah klikdokter, andalan keluarga gue bgt kalau urgent butuh saran dari dokter",5,"terbaik lah klikdokter, andalan keluarga gue bgt kalau urgent butuh saran dari dokter"
perlu konsul dokter tinggal meluncurrr aja ke Klikdokter. dokternya cepat dan tanggap,5,perlu konsul dokter tinggal meluncurrr aja ke Klikdokter. dokternya cepat dan tanggap
udah coba beberapa kali aplikasi klik dokter dan slalu puass sama hasil konsulnya,5,udah coba beberapa kali aplikasi klik dokter dan slalu puass sama hasil konsulnya
"Aplikasi telehealth yang bantu beneran buat jaga kesehatan soalnya ada fitur cek kesehatan pula, terus kalau sakit enak tinggal pilih dokter sp-nya buat konsultasi",5,"Aplikasi telehealth yang bantu beneran buat jaga kesehatan soalnya ada fitur cek kesehatan pula, terus kalau sakit enak tinggal pilih dokter sp-nya buat konsultasi"
Semoga jodohku kaya dokter diklikdokter ya sat set sat set langsung bikin sembuh hehehe thanks klikdokter,5,Semoga jodohku kaya dokter diklikdokter ya sat set sat set langsung bikin sembuh hehehe thanks klikdokter
App-nya enak buat konsul dokter buat berobat + suka deh sm Health Tools-nya. Jd semangat jaga kesehatan.,5,App-nya enak buat konsul dokter buat berobat + suka deh sm Health Tools-nya. Jd semangat jaga kesehatan.
"agak cerita dikit, jd keluarga saya tuh terbilang pd sehat2 bgt dah dan jaraaang gt ada yg ke dokter jdnya saya takut di-judge kalo ketauan ke dokter pdhl lg butuh bgt:"" tp syukurnya saya nemu app ini jdnya bisa scr online deh konsul dokternya lega sekalii thanks klikdokter udah bantu saya bgt!",5,"agak cerita dikit, jd keluarga saya tuh terbilang pd sehat2 bgt dah dan jaraaang gt ada yg ke dokter jdnya saya takut di-judge kalo ketauan ke dokter pdhl lg butuh bgt:"" tp syukurnya saya nemu app ini jdnya bisa scr online deh konsul dokternya lega sekalii thanks klikdokter udah bantu saya bgt!"
"Sesimple itu konsul kesehatan di Klikdokter. Tinggal buka aplikasinya, pilih dokter yg sesuai sama keinginan kita, terus udh bisa dimulai deh konsul kesehatannya..",5,"Sesimple itu konsul kesehatan di Klikdokter. Tinggal buka aplikasinya, pilih dokter yg sesuai sama keinginan kita, terus udh bisa dimulai deh konsul kesehatannya.."
"Dokter di Klikdokter tuh superrrrr ramahhh tiap konsul ga pernah lg deh berasa canggung awkward gitu, da best deh",5,"Dokter di Klikdokter tuh superrrrr ramahhh tiap konsul ga pernah lg deh berasa canggung awkward gitu, da best deh"
"Seumur2 cuma taunya app dokter buat manusia aja, eh rupanya bisa jg buat hewan begitu pakai klikdokter. Jd ga susah lg deh saya sm kucing peliharaan kl perlu konsul...",5,"Seumur2 cuma taunya app dokter buat manusia aja, eh rupanya bisa jg buat hewan begitu pakai klikdokter. Jd ga susah lg deh saya sm kucing peliharaan kl perlu konsul..."
"Klikdokter menjiwai namanya bgttt tinggal klik2 aja langsung deh tuh ""ketemu"" dokternya lwt chat, konsul trs dapet deh kiriman obatnya👍",5,"Klikdokter menjiwai namanya bgttt tinggal klik2 aja langsung deh tuh ""ketemu"" dokternya lwt chat, konsul trs dapet deh kiriman obatnya👍"
selama ini suka parno kalo ke dokter sendirian tp skrg ga perlu parno lg soalnya ada aplikasi klikdokter cukup lewat chat lgsg dapet hasil diagnosa dan resep obatnya<3,5,selama ini suka parno kalo ke dokter sendirian tp skrg ga perlu parno lg soalnya ada aplikasi klikdokter cukup lewat chat lgsg dapet hasil diagnosa dan resep obatnya<3
"Pilih klikdokter soalnya bisa konsultasi gratis, tapi setelah diupdate malah harus bayar. Gak bisa dibalikin lagi fitur konsul gratis ke dokternya?",4,"Pilih klikdokter soalnya bisa konsultasi gratis, tapi setelah diupdate malah harus bayar. Gak bisa dibalikin lagi fitur konsul gratis ke dokternya?"
Susah banget buat chat konsulnya. Udah bayar 50rb dokternya traffic. Pilih yang 30rb eh sisanya ga balik lagi. Pilih lagi yang 50rb karena yang tadi 30rb traffic lagi. Masa harus nambahin lagi sih. Anehhh,1,Susah banget buat chat konsulnya. Udah bayar 50rb dokternya traffic. Pilih yang 30rb eh sisanya ga balik lagi. Pilih lagi yang 50rb karena yang tadi 30rb traffic lagi. Masa harus nambahin lagi sih. Anehhh
"Yang terpenting dari aplikasi kesehatan menurut gue yaa yg ga ribet alias mudah digunakan, dan gue memilih pake Klikdokter karena friendly user",5,"Yang terpenting dari aplikasi kesehatan menurut gue yaa yg ga ribet alias mudah digunakan, dan gue memilih pake Klikdokter karena friendly user"
"Zaman sekarang apa-apa serba digital, termasuk berobat pun udah bisa digital. Aku sih lebih milih pake Klikdokter, karena udah terbukti pelayanannya bagus",5,"Zaman sekarang apa-apa serba digital, termasuk berobat pun udah bisa digital. Aku sih lebih milih pake Klikdokter, karena udah terbukti pelayanannya bagus"
Diupdate mlh chat dokter jd berbayar semua 😩,1,Diupdate mlh chat dokter jd berbayar semua 😩
"Masukan. Kalau nambah anggota keluarga harusnya tidak perluada nomor hape, kalau anak balita yang di daftarkan gimana caramya.",3,"Masukan. Kalau nambah anggota keluarga harusnya tidak perluada nomor hape, kalau anak balita yang di daftarkan gimana caramya."
top banget klikdokter. gak pernah nyesel pake aplikasi ini dari awal karena sesimple tapi selengkap itu fiturnya jugaa,5,top banget klikdokter. gak pernah nyesel pake aplikasi ini dari awal karena sesimple tapi selengkap itu fiturnya jugaa
Pengalaman terbaik dibanding apps sebelah 🙏,5,Pengalaman terbaik dibanding apps sebelah 🙏
You should Try now...,5,You should Try now...
"Kenapa sekarang tidak gratis lagi? Padahal dulunya saya pengguna setia klikdokter. Tapi semenjak konsultasi berbayar, saya uninstall soalnya saya juga tidak ada biaya buat konsultasi.",1,"Kenapa sekarang tidak gratis lagi? Padahal dulunya saya pengguna setia klikdokter. Tapi semenjak konsultasi berbayar, saya uninstall soalnya saya juga tidak ada biaya buat konsultasi."
Abis di update malah ga bisa dibuka sama sekali apknya :(,2,Abis di update malah ga bisa dibuka sama sekali apknya :(
"gue selalu langganan klikdokter sih soalnya beda sama yang lain ga neko neko, aplikasinya mudah dipake, harga terjangkau, terus respon dokternya juga ramah",5,"gue selalu langganan klikdokter sih soalnya beda sama yang lain ga neko neko, aplikasinya mudah dipake, harga terjangkau, terus respon dokternya juga ramah"
"paling sukanya butuh apa aja dan kapanpun selalu ada nih kalau klikdokter, keren banget deh",5,"paling sukanya butuh apa aja dan kapanpun selalu ada nih kalau klikdokter, keren banget deh"
"Pernah tengah malem asma kambuh tp takut bgt buat ke rs jam segitu. Dibantuin kaka konsul ke dokter di klikdokter, keren bgt masih standby dan lgsg di bantuin. Bener bener terbaik deh",5,"Pernah tengah malem asma kambuh tp takut bgt buat ke rs jam segitu. Dibantuin kaka konsul ke dokter di klikdokter, keren bgt masih standby dan lgsg di bantuin. Bener bener terbaik deh"
"sempet ragu sama telemed karena kayak gimana ga kebayang gt konsul online se ngebantu apa. direkomendasiin temen pake klikdokter, eh super puas bgt pelayanannya, mana harganya lebih terjangkau lg",5,"sempet ragu sama telemed karena kayak gimana ga kebayang gt konsul online se ngebantu apa. direkomendasiin temen pake klikdokter, eh super puas bgt pelayanannya, mana harganya lebih terjangkau lg"
"klikdokter juara bgt sih, udah sering konsul disini ga pernah tuh nemu dokter yang judes.",5,"klikdokter juara bgt sih, udah sering konsul disini ga pernah tuh nemu dokter yang judes."
"senyaman itu pake klikdokter, semua bisa dilakuin lewat handphone aja, obat juga tinggal pesen dan nanti bakal dianter sampe rumah",5,"senyaman itu pake klikdokter, semua bisa dilakuin lewat handphone aja, obat juga tinggal pesen dan nanti bakal dianter sampe rumah"
asik banget di klikdokter buat janji temu sama dokter bisa lewat aplikasi jadi ga pake ribet,5,asik banget di klikdokter buat janji temu sama dokter bisa lewat aplikasi jadi ga pake ribet
"ga perlu worry pas musim pancaroba, tinggal konsul ke dokter dan beli obat di aplikasi klikdokter langsung",5,"ga perlu worry pas musim pancaroba, tinggal konsul ke dokter dan beli obat di aplikasi klikdokter langsung"
"awalnya dikenalin sama temen, eh lama2 jadi ketagihan saking mudahnya",5,"awalnya dikenalin sama temen, eh lama2 jadi ketagihan saking mudahnya"
"mau sungkem sama yang bikin klikdokter, bener bener mempermudah aku ngejaga kesehatan banget",5,"mau sungkem sama yang bikin klikdokter, bener bener mempermudah aku ngejaga kesehatan banget"
aplikasi tdk ribet dan pelayanan memuaskan,5,aplikasi tdk ribet dan pelayanan memuaskan
dokternya bener bener ngedengerin dan jawab pertanyaan aku dengan super sabar,5,dokternya bener bener ngedengerin dan jawab pertanyaan aku dengan super sabar
"dokternya bener bener ngehargai waktu konsul, responnya cepat dan lengkap",5,"dokternya bener bener ngehargai waktu konsul, responnya cepat dan lengkap"
"konsul di klikdokter mudah banget dan efektif, gak ribet, nyaman juga",5,"konsul di klikdokter mudah banget dan efektif, gak ribet, nyaman juga"
Semoga dokternya ga bosen bosen aku konsulin haha,5,Semoga dokternya ga bosen bosen aku konsulin haha
"jam 4 subuh masih ada dokter yang praktek buat konsultasi, salut banget",5,"jam 4 subuh masih ada dokter yang praktek buat konsultasi, salut banget"
"aplikasi yang bermanfaat banget, aku jadi dapet banyak info tentang kesehatan",5,"aplikasi yang bermanfaat banget, aku jadi dapet banyak info tentang kesehatan"
"Wow sangat canggih sekali klikdokter, bisa tebus resep. Fasilitas kesehatan terbaik deh",5,"Wow sangat canggih sekali klikdokter, bisa tebus resep. Fasilitas kesehatan terbaik deh"
Fitur reguler chatnya sangat membantu disaat tidak punya uang dan ingin chat ke dokter. Mantap.. Thanks KlikDokter,5,Fitur reguler chatnya sangat membantu disaat tidak punya uang dan ingin chat ke dokter. Mantap.. Thanks KlikDokter
"download klikdokter pas kena covid kmrn untuk konsul ke dokter ttg protokol dirumah sekaligus beli paket isoman untuk stock vitamin, pelayanan baik dan cepat",5,"download klikdokter pas kena covid kmrn untuk konsul ke dokter ttg protokol dirumah sekaligus beli paket isoman untuk stock vitamin, pelayanan baik dan cepat"
"Pake klikdokter karena direkomendasikan temen, ganyesel karena harganya worth it banget sama pelayanan yg aku dapetin",5,"Pake klikdokter karena direkomendasikan temen, ganyesel karena harganya worth it banget sama pelayanan yg aku dapetin"
"pas ortu kena covid, sy order paket isoman di klikdokter utk bantu pemulihan. vitaminnya lengkap dan ada trs, ortu jg gak perlu keluar rumah. alhamdulillah skrg keduanya sdh sehat kembali",5,"pas ortu kena covid, sy order paket isoman di klikdokter utk bantu pemulihan. vitaminnya lengkap dan ada trs, ortu jg gak perlu keluar rumah. alhamdulillah skrg keduanya sdh sehat kembali"
"sudah bayar, tapi ketika mulai chat malah error gak bisa chat konsul sama sekali. hilang deh duitnya",1,"sudah bayar, tapi ketika mulai chat malah error gak bisa chat konsul sama sekali. hilang deh duitnya"
"ga cuman dokter umum, dokter spesialis pun selalu ready setiap waktu. goodjob klikdokter",5,"ga cuman dokter umum, dokter spesialis pun selalu ready setiap waktu. goodjob klikdokter"
"kemarin aku sekali sekalinya nyoba konsul vc di klikdokter saking gakuatnya ngetik, dokternya baik puolllll, ngejelasinnya sabar banget dan gampang dipahami",5,"kemarin aku sekali sekalinya nyoba konsul vc di klikdokter saking gakuatnya ngetik, dokternya baik puolllll, ngejelasinnya sabar banget dan gampang dipahami"
eh demi apasih klikdokter bisa tebus resep lewat aplikasi? jadi gampang bgt ih suka,5,eh demi apasih klikdokter bisa tebus resep lewat aplikasi? jadi gampang bgt ih suka
ngerasa lebih efektif sih pake layanan ini buat konsul sm dokter untuk pertama kalinya jd nggak perlu ngantre yg nunggu berjam jam gitu,5,ngerasa lebih efektif sih pake layanan ini buat konsul sm dokter untuk pertama kalinya jd nggak perlu ngantre yg nunggu berjam jam gitu
"harga sangat ekonomis ditambah banyak promo lainnya. pelayanannya sangat memuskan, apalagi 1 aplikasi tuh fiturnya lengkap bgt",5,"harga sangat ekonomis ditambah banyak promo lainnya. pelayanannya sangat memuskan, apalagi 1 aplikasi tuh fiturnya lengkap bgt"
"responnya cepat, saran jangan jelas dan mudah dipahami. harga layananya juga murah dan lengkap fiturnya",5,"responnya cepat, saran jangan jelas dan mudah dipahami. harga layananya juga murah dan lengkap fiturnya"
"aplikasinya gampang dipake, layananya oke gercep, harganya juga murah ditambah selalu ada promo juga",5,"aplikasinya gampang dipake, layananya oke gercep, harganya juga murah ditambah selalu ada promo juga"
"semenjak download aplikasi ini aku jd lebih care sama kesehatan badanku, suka baca artikel yg ada di dalemnya plus suka konsul lsg sama dokternya kalau masih bingung",5,"semenjak download aplikasi ini aku jd lebih care sama kesehatan badanku, suka baca artikel yg ada di dalemnya plus suka konsul lsg sama dokternya kalau masih bingung"
Penjelasan dokternya rinci bgt dan oke sekali. Dokternya ramah dan malam pun masih banyak yang online.,5,Penjelasan dokternya rinci bgt dan oke sekali. Dokternya ramah dan malam pun masih banyak yang online.
solusi yg pas banget buat konsul online dgn harga miring. dokter spesialisnya banyak dan ready semua,5,solusi yg pas banget buat konsul online dgn harga miring. dokter spesialisnya banyak dan ready semua
sbg anak kostan sering panik klu sakit sendiri tp alhamdulillah smjak pake ini jadi tetep tenang wlau sendiri,5,sbg anak kostan sering panik klu sakit sendiri tp alhamdulillah smjak pake ini jadi tetep tenang wlau sendiri
jadi andalan sih kalau aku butuh saran dokter yang cepet karna cuma di sini yg dokternya selalu standby dan responsif bgt,5,jadi andalan sih kalau aku butuh saran dokter yang cepet karna cuma di sini yg dokternya selalu standby dan responsif bgt
"Aplikasi sangat mudah digunakan, banyak fitur dan tidak membingungkan. Jika butuh sangat rekomen untuk di download.",5,"Aplikasi sangat mudah digunakan, banyak fitur dan tidak membingungkan. Jika butuh sangat rekomen untuk di download."
