content,score,content_contractions,content_translated,lang_id
Sangat membantu disaat emergency.,5,Sangat membantu disaat emergency.,Very helpful when emergency.,id
Dokter yang ramah,5,Dokter yang ramah,Friendly doctor,id
Excellent and helpfull.... Thanks Halodoc,5,Excellent and helpfull.... Thanks Halodoc,Excellent and helpfull.... Thanks Halodoc,en
"I bought medicine from Halodoc that need prescription. The medicine came has already expired, and I can't buy another one because the prescription can only be used once. The helpdesk said they would be reach me in 24 hours, but they haven't reached me until now. If my illness is chronic, I would have died from either my illness or the expired medicine. Slow customer support 😶",1,"I bought medicine from Halodoc that need prescription. The medicine came has already expired, and I cannot buy another one because the prescription can only be used once. The helpdesk said they would be reach me in 24 hours, but they have not reached me until now. If my illness is chronic, I would have died from either my illness or the expired medicine. Slow customer support 😶","I bought medicine from Halodoc that need prescription. The medicine came has already expired, and I cannot buy another one because the prescription can only be used once. The helpdesk said they would be reach me in 24 hours, but they have not reached me until now. If my illness is chronic, I would have died from either my illness or the expired medicine. Slow customer support 😶",en
"Aplikasi jelek, asuransi kok gak sesuai polis. Dipolis bilang masa tunggu 1 tahun tapi kenyataan baru bisa claim kalau 2 tahun. Emang pantas diviralkan",1,"Aplikasi jelek, asuransi kok gak sesuai polis. Dipolis bilang masa tunggu 1 tahun tapi kenyataan baru bisa claim kalau 2 tahun. Emang pantas diviralkan","The application is bad, the insurance does not match the policy. Political says the waiting period is 1 year but the reality can only claim that 2 years. It deserves to be visited",id
Great app 👍🏻,5,Great app 👍🏻,Great app 👍🏻,en
Konsultasi dgn dokter Herman. Bagus dan solusinya ok banget. Terima kasih ya dok,5,Konsultasi dgn dokter Herman. Bagus dan solusinya ok banget. Terima kasih ya dok,Consultation with Doctor Herman. Good and the solution is really ok. Thank you doc,id
A helping hand just a click away,5,A helping hand just a click away,A helping hand just a click away,en
"as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ",4,"as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ","as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ",en
Fast response! Great!,5,Fast response! Great!,Fast response! Great!,en
Iklan di YouTube editor nya dari Prindavan,1,Iklan di YouTube editor nya dari Prindavan,Ads on YouTube Editor from Prindavan,id
"Layanan lab home servis nya ok, cepat. Dan hisa lamhaung konsultasi online. Ga report keluar2",5,"Layanan lab home servis nya ok, cepat. Dan hisa lamhaung konsultasi online. Ga report keluar2","Home service lab service is ok, fast. And Hisa Lamhaung Online Consultation. No report out",id
Jangkauan apotik dari pembeli jaraknya seharusnya tidak lebih dari 10 atau 12 kilometer. Supaya driver instant nya tidak batalin orderan terus,3,Jangkauan apotik dari pembeli jaraknya seharusnya tidak lebih dari 10 atau 12 kilometer. Supaya driver instant nya tidak batalin orderan terus,The pharmacy range of the buyer should not be more than 10 or 12 kilometers. So that the instant driver does not bathe the order,id
Sungguh membantu saat ingin berobat di manapun dan kapan pun. Thank you,5,Sungguh membantu saat ingin berobat di manapun dan kapan pun. Thank you,Really helpful when you want to seek treatment anywhere and anytime. Thank you,id
"easy to use, profesional medical assistance",5,"easy to use, profesional medical assistance","easy to use, profesional medical assistance",en
"Data tiba tiba berubah semu, pengkinian data eror",1,"Data tiba tiba berubah semu, pengkinian data eror","Data suddenly changed pseudo, data error",id
THE BEST HELP,5,THE BEST HELP,THE BEST HELP,en
Trima kasih.. Berkah Dalem,5,Trima kasih.. Berkah Dalem,Thank you .. Blessing Dalem,id
Useful and user friendly UI,5,Useful and user friendly UI,Useful and user friendly UI,en
Very responsive ans helpful,5,Very responsive ans helpful,Very responsive ans helpful,en
"Sangat membantu sekali ketika sedang sakit dan tdk bisa pergi kedokter offline, respon dokter juga bagus",5,"Sangat membantu sekali ketika sedang sakit dan tdk bisa pergi kedokter offline, respon dokter juga bagus","Very helpful when you are sick and can't go offline medicine, the doctor's response is also good",id
Apakah bisa saya memberikan tip kepada driver yg sudah mengantarkan obat?,5,Apakah bisa saya memberikan tip kepada driver yg sudah mengantarkan obat?,Can I give tips to drivers who have delivered medicine?,id
Pelayanan dokternya sgt baik👍,5,Pelayanan dokternya sgt baik👍,The doctor's service is very good 👍,id
Aplikasi yg simple dan bermanfaat sekali,3,Aplikasi yg simple dan bermanfaat sekali,Simple and very useful application,id
"sistem buruk. tidak ada penggunaan layanan namun status diubah menjadi ""selesai"". refund diklaim sejak tgl 27 dan seluruh bukti telah diajukan. waktu proses refund maksimal 14 hari namun hingga tgl 19 tidak ada proses refund yang diterima.",1,"sistem buruk. tidak ada penggunaan layanan namun status diubah menjadi ""selesai"". refund diklaim sejak tgl 27 dan seluruh bukti telah diajukan. waktu proses refund maksimal 14 hari namun hingga tgl 19 tidak ada proses refund yang diterima.","Bad system. There is no service use but the status is changed to ""completed"". Refund is claimed since 27 and all evidence has been submitted. The refund process is a maximum of 14 days but until 19 there is no refund process received.",id
"Sangat terbantu dg adanya halodoc, ngk perlu pergi2, ngk perlu ngantri, dan ngk punya cash, sangat membantu",5,"Sangat terbantu dg adanya halodoc, ngk perlu pergi2, ngk perlu ngantri, dan ngk punya cash, sangat membantu","Greatly helped by Halodoc, don't need to go, don't need to queue, and don't have cash, very helpful",id
Aplikasi yang sangat membantu banget.,5,Aplikasi yang sangat membantu banget.,Very helpful applications.,id
Tolong tambahkan fitur untuk chat langsung ke drivernya,4,Tolong tambahkan fitur untuk chat langsung ke drivernya,Please add a feature to chat directly to the driver,id
Keep a good work and uphrade for more best experience,5,Keep a good work and uphrade for more best experience,Keep a good work and uphrade for more best experience,en
"Awalnya lancar transaksi, makin.kesini malah error terus. Transaksi cek harga resep aja lama dan gagal terus, begitu bisa transaksi obat gak dikirim, lalu cancel dan dana (GO-PAY) ga langsung balik..suruh nunggu 1x24 jam. Ini kalo emergency butuh obatnya saat isoman gimana?? Nunggu kolaps dulu yg sakit?",1,"Awalnya lancar transaksi, makin.kesini malah error terus. Transaksi cek harga resep aja lama dan gagal terus, begitu bisa transaksi obat gak dikirim, lalu cancel dan dana (GO-PAY) ga langsung balik..suruh nunggu 1x24 jam. Ini kalo emergency butuh obatnya saat isoman gimana?? Nunggu kolaps dulu yg sakit?","Initially the transaction was smooth, the more it was error. Recipe price transactions are just long and fail to continue, once the drug transaction can not be sent, then cancel and funds (Go-Pay) will not return ... let's wait 1x24 hours. This is if emergency needs the cure when Isoman? Wait for the first collapsed?",id
Aplikasi sangat lelet,2,Aplikasi sangat lelet,The application is very slow,id
"Lelet, disaat urgent malah ga bisa dipakai.",1,"Lelet, disaat urgent malah ga bisa dipakai.","Slow, when the urgent can not even be used.",id
CS slow response. Lama banget nunggunya,1,CS slow response. Lama banget nunggunya,CS Slow Response. It's been a long time waiting,id
"Mantapp, saya bisa konsul teledokter. Dilayani dengan baik dan seksama. Resep keluar dan saya bisa langsung tebus obat melalui apotek online pilihan yang ada. Obat saya dapatkan dalam runtutan waktu 1 jam sejak konsul dokter. Luar biasa ini Halodoc.. bantu orang banyak tanpa harus visit langsung utk kurangi resiko apalagi sekarang lagi banhak resiko covid. sukses ya!",5,"Mantapp, saya bisa konsul teledokter. Dilayani dengan baik dan seksama. Resep keluar dan saya bisa langsung tebus obat melalui apotek online pilihan yang ada. Obat saya dapatkan dalam runtutan waktu 1 jam sejak konsul dokter. Luar biasa ini Halodoc.. bantu orang banyak tanpa harus visit langsung utk kurangi resiko apalagi sekarang lagi banhak resiko covid. sukses ya!","Mantapp, I can consul cocoa. Well served and carefully. Recipe out and I can immediately redeem medicine through the existing online pharmacy. I got the medicine in the sequence of 1 hour from the doctor's consul. Amazing this Halodoc ... help many people without having to visit directly to reduce the risk, especially now that the risk of Covid. good luck!",id
Membantu sekali apabila ketika sedang tidak orang lain di rumah,5,Membantu sekali apabila ketika sedang tidak orang lain di rumah,Help once when when people are not at home,ms
Dengan link nya ke asuransi semua menjadi mudah dengan halodoc,5,Dengan link nya ke asuransi semua menjadi mudah dengan halodoc,"With the link to insurance, everything is easy with Halodoc",id
"Komunikatif, pelayan bagus dan sesuai harapan...",5,"Komunikatif, pelayan bagus dan sesuai harapan...","Communicative, good servants and as expected ...",id
Konsuktasi dg psikolog klinis baik,5,Konsuktasi dg psikolog klinis baik,CONSTITATION With good clinical psychologists,id
"Dari sejak kena covid ampe sakit infeksi biasa, kebantu banget ama app ini. Konsul dokter jam 3 pagi jg bisa dan obat tiba dlm 15 menit. Terima kasih banyak.",5,"Dari sejak kena covid ampe sakit infeksi biasa, kebantu banget ama app ini. Konsul dokter jam 3 pagi jg bisa dan obat tiba dlm 15 menit. Terima kasih banyak.","From since being hit by Covid until ill infection, I really helped this app. The doctor's consul at 3 in the morning can also and the medicine arrives in 15 minutes. Thank you very much.",id
puas dg saran dan diagnosa nya,5,puas dg saran dan diagnosa nya,satisfied with the advice and diagnosis,id
Kemudahan dan fleksibilitas memilih tenaga kerja kesehatan sesuai keinginan kita memang luar biasa 👍! Ditambah lagi kita bisa menghubungkan asuransi pribadi maupun anggota keluarga sehingga biaya pengobatan dan obat bisa langsung ditanggu asuransi!,5,Kemudahan dan fleksibilitas memilih tenaga kerja kesehatan sesuai keinginan kita memang luar biasa 👍! Ditambah lagi kita bisa menghubungkan asuransi pribadi maupun anggota keluarga sehingga biaya pengobatan dan obat bisa langsung ditanggu asuransi!,The ease and flexibility of choosing health workers according to our wishes is indeed extraordinary 👍! Plus we can connect personal insurance and family members so that medical and drug costs can be directly disturbed by insurance!,id
"Praktis,memudahkan orang yang sakit tanpa perlu lama lama antri,",5,"Praktis,memudahkan orang yang sakit tanpa perlu lama lama antri,","Practical, making it easier for people who are sick without the need for long queuing,",id
Sangat membantu. terima kasih,5,Sangat membantu. terima kasih,Very helpful. Thank you,id
"Helpful, especially for covid patient",5,"Helpful, especially for covid patient","Helpful, especially for covid patient",en
Terima kasih halodoc. Sy bisa konsultasi dokter dan dpt obat tanpa hrs antri ke klinik..,5,Terima kasih halodoc. Sy bisa konsultasi dokter dan dpt obat tanpa hrs antri ke klinik..,Thank you Halodoc. I can consult a doctor and get medicine without having to queue to the clinic ..,id
Helping many things of getting better solution by Doctor immediate action,4,Helping many things of getting better solution by Doctor immediate action,Helping many things of getting better solution by Doctor immediate action,en
"Jangan pernah menggunakan aplikasi ini kalau tidak ingin kehabisa uang, saya coba mau konsultasi dokter mata, sudah bayar, terus setelah bayat tidak bisa konsultasi, keterangan di aplikasinya eror,",1,"Jangan pernah menggunakan aplikasi ini kalau tidak ingin kehabisa uang, saya coba mau konsultasi dokter mata, sudah bayar, terus setelah bayat tidak bisa konsultasi, keterangan di aplikasinya eror,","Never use this application if you don't want to finish money, I try to consult an eye doctor, already paid, then after the bayat cannot consult, the information in the application is error,",id
aplikasi yang sangat membantu,5,aplikasi yang sangat membantu,Very helpful application,id
"Yess, kerennn cepat dan tanggap, trmksh dok",5,"Yess, kerennn cepat dan tanggap, trmksh dok","Yess, cool and responsive, thanks doc",id
"Puas dengan konsultasi Dokter, detail dan Dokternya baik",5,"Puas dengan konsultasi Dokter, detail dan Dokternya baik","Satisfied with the doctor's consultation, the details and the doctor are good",id
"Variasi lengkap, harga terjangkau, puas sekali pakai halodoc. Terima kasih",5,"Variasi lengkap, harga terjangkau, puas sekali pakai halodoc. Terima kasih","Complete variations, affordable prices, very satisfied use Halodoc. Thank you",id
Sungguh ngebantu banget buat calon ibu seperti saya,5,Sungguh ngebantu banget buat calon ibu seperti saya,Really helpful for prospective mothers like me,id
Mudah ringan d menyenangkan 💚💚💚,5,Mudah ringan d menyenangkan 💚💚💚,Easy light d fun 💚💚💚,id
"Sangat bermanfaat, dokternya juga responsif dan ramah",5,"Sangat bermanfaat, dokternya juga responsif dan ramah","Very useful, the doctor is also responsive and friendly",id
Sangat berguna disaat2 urgent tengah malam,5,Sangat berguna disaat2 urgent tengah malam,Very useful at midnight urgent,id
Terrible. Mau pesen obat gak bisa². Apa gunanya jadi telemedicine?,1,Terrible. Mau pesen obat gak bisa². Apa gunanya jadi telemedicine?,Terrible. Want to order medicine can't. What's the use of being telemedicine?,id
Memudahkan jika kita tidak bisa ke klinik ato RS thx halodoc,5,Memudahkan jika kita tidak bisa ke klinik ato RS thanks halodoc,Make it easier if we can't go to the clinic or Halodoc Hospital,id
Aplikasi ini sangat membantu terutama layanan dokter jarak jauhnya yang terintegrasi langsung dengan apotik,5,Aplikasi ini sangat membantu terutama layanan dokter jarak jauhnya yang terintegrasi langsung dengan apotik,"This application is very helpful, especially long -distance doctor services that are integrated directly with pharmacies",id
"Sangat mudah untuk digunakan. Mudah memilih dokter, juga dibantu untuk mengirimkan obat dari apotek terdekat.",5,"Sangat mudah untuk digunakan. Mudah memilih dokter, juga dibantu untuk mengirimkan obat dari apotek terdekat.","Very easy to use. Easy to choose a doctor, also helped to send medicine from the nearest pharmacy.",id
"Keren, cepat, mantap, dan akurat. Sangat membantu sekali. Terimakasih banyak buqt tim Halodoc. Kalian hebat.",5,"Keren, cepat, mantap, dan akurat. Sangat membantu sekali. Terimakasih banyak buqt tim Halodoc. Kalian hebat.","Cool, fast, steady, and accurate. Very helpful. Thank you very much, Halodoc's team. You are great.",id
Awesome application and user friendly. Keep it up.,5,Awesome application and user friendly. Keep it up.,Awesome application and user friendly. Keep it up.,en
"My first contac with halodoc, surprise I can😆",5,"My first contac with halodoc, surprise I can😆","My first contac with halodoc, surprise I can😆",en
Easy to use and verry helpfull,5,Easy to use and verry helpfull,Easy to use and verry helpfull,en
Sangat membantu saat dokter offline tutup,5,Sangat membantu saat dokter offline tutup,Very helpful when the offline doctor is closed,id
"Appnya bagus, sangat memudahkan. Chat dokter dan tebus obat sudah terintegrasi",5,"Appnya bagus, sangat memudahkan. Chat dokter dan tebus obat sudah terintegrasi","The app is good, very easy. The doctor's chat and redeemed drugs are integrated",id
Sangat membantu saya,5,Sangat membantu saya,Very helpful for me,id
Obatnya dianter ke rumah yang salah And yeah lama banget diprosesnya,1,Obatnya dianter ke rumah yang salah And yeah lama banget diprosesnya,The medicine is delivered to the wrong house and yeah it was so long to process it,id
"Sangat membantu, praktis, hemat 👍🏻",5,"Sangat membantu, praktis, hemat 👍🏻","Very helpful, practical, economical 👍🏻",id
Sangat membantu disaat pandemi seperti sekarang,5,Sangat membantu disaat pandemi seperti sekarang,Very helpful when pandemic like now,id
"pelayanan cepat, simple, dokternya friendly",5,"pelayanan cepat, simple, dokternya friendly","Fast service, simple, doctor friendly",id
"Sangat membantu sekali, efisien dan cepat solusinya. Terima kasih.",5,"Sangat membantu sekali, efisien dan cepat solusinya. Terima kasih.","Very helpful, efficient and fast solution. Thank you",id
Easy to use,5,Easy to use,Easy to use,en
"gbs login, no OTP udh bener, failed mulu",3,"gbs login, no OTP udh bener, failed mulu","GBS Login, No OTP Udh Really, Failed Mulu",id
"Can't refund, my transaction got cancelled and when i input refund form it's always failed. edited : They reached out to me and sending my money back.👍🏻",5,"Cannot refund, my transaction got cancelled and when i input refund form it is always failed. edited : They reached out to me and sending my money back.👍🏻","Cannot refund, my transaction got cancelled and when i input refund form it is always failed. edited : They reached out to me and sending my money back.👍🏻",en
Very very helpful,5,Very very helpful,Very very helpful,en
"Sangat membantu sekali, terima kasih halo doc",5,"Sangat membantu sekali, terima kasih halo doc","Very helpful, thank you hello doc",id
Ini aplikasi sangat membantu banget,5,Ini aplikasi sangat membantu banget,This application is very helpful,id
"Keren, bisa konsul dari rumah",5,"Keren, bisa konsul dari rumah","Cool, can be consul from home",id
Easy to use and clear,5,Easy to use and clear,Easy to use and clear,en
Sangaaat menganggu dikala penting!,5,Sangaaat menganggu dikala penting!,Soaaat disturbs when it is important!,id
"Cepat, tepat dan sehat..thx halodoc",5,"Cepat, tepat dan sehat..thanks halodoc","Fast, precise and healthy..thanks halodoc",id
Dokter2nya kooperatif dan sangat membantu. Jadi ga perlu bolak balik nanya sana sini buang2 uang 😂,5,Dokter2nya kooperatif dan sangat membantu. Jadi ga perlu bolak balik nanya sana sini buang2 uang 😂,The doctors are cooperative and very helpful. So no need to go back and forth asking here and there to throw money 😂,id
Terjawab semua keluhan saya semoga cepat sembuh ...,5,Terjawab semua keluhan saya semoga cepat sembuh ...,"Answered all my complaints, hopefully healed quickly ...",id
Beruntung ada Halodoc ❤,5,Beruntung ada Halodoc ❤,Luckily there is Halodoc ❤,id
Cepat memberi jawaban dan cukup jelas,5,Cepat memberi jawaban dan cukup jelas,Quickly give answers and quite clear,id
very helpful apps. thx 👍👍👍👍👍,5,very helpful apps. thanks 👍👍👍👍👍,very helpful apps. thanks 👍👍👍👍👍,en
Cepat respon nya,5,Cepat respon nya,The response quickly,id
Dokternya ramah dan mau nunggu pas koneksi internet saya terganggu,5,Dokternya ramah dan mau nunggu pas koneksi internet saya terganggu,The doctor is friendly and want to wait when my internet connection is disturbed,id
"Wow aku br pertama kali beli obat d sini!!! Ga nyangka simple mudah cepet. Selama ini tau aplikasinya cm ga pernah coba. Muter2 cr apotek ga nemu, pake aplikasi ini, lgs ketemu, pengiriman instan cm 20rb, resep ga ada juga bs d buatin resep online sama halodoc. Bintang 5!!!!!!!!",5,"Wow aku br pertama kali beli obat d sini!!! Ga nyangka simple mudah cepet. Selama ini tau aplikasinya cm ga pernah coba. Muter2 cr apotek ga nemu, pake aplikasi ini, lgs ketemu, pengiriman instan cm 20rb, resep ga ada juga bs d buatin resep online sama halodoc. Bintang 5!!!!!!!!","Wow, I first bought medicine here !!! I never thought simple easily quickly. During this time you know the application has never been tried. Muter2 CR Apotek doesn't find, use this application, find it, instant cm 20 thousand, there is also no recipe for recipes online with halodoc. 5 Stars !!!!!!!!",id
"It's getting worse lately, selalu ngga smooth. Terakhir di payment gateway nya, masukin otp aja belum, udah gagal. Sebelumnya pas minta resep digital, sdh dpt dr dokter, lanjut pesanan, ttp dibilang perlu resep.",2,"It is getting worse lately, selalu ngga smooth. Terakhir di payment gateway nya, masukin otp aja belum, udah gagal. Sebelumnya pas minta resep digital, sdh dpt dr dokter, lanjut pesanan, ttp dibilang perlu resep.","It is getting world lately, always not smooth. Finally in the payment gateway, just enter the OTP, it's not yet failed. Previously, when I asked for a digital prescription, I got a doctor, continued the order, but was said to be a recipe.",id
Aplikasi yg sangat membantu sekali,5,Aplikasi yg sangat membantu sekali,Very helpful,id
"Ok banget , sangat menolong",5,"Ok banget , sangat menolong","Really ok, very helpful",id
bagus dan cukup membantu bgt,5,bagus dan cukup membantu bgt,good and quite helpful,id
"Apoteknya kadang jauh bangettt bukan di apotek terdekat, kasian abang gojeknya :(",4,"Apoteknya kadang jauh bangettt bukan di apotek terdekat, kasian abang gojeknya :(","The pharmacy is sometimes far away, not at the nearest pharmacy, sorry for the motorcycle taxi :(",id
Fasilitas di situs tidak memungkinkan untuk ganti profil untuk anak dan pasangan. Harus pakai aplikasi,5,Fasilitas di situs tidak memungkinkan untuk ganti profil untuk anak dan pasangan. Harus pakai aplikasi,Facilities on the site are not possible to change profiles for children and partners. Must use the application,id
Saya gunakan aplikasi ini untuk konsultasi covid isolasi mandiri. Good job.,5,Saya gunakan aplikasi ini untuk konsultasi covid isolasi mandiri. Good job.,I use this application to consult independently isolation Covid. Good job.,id
Great Service for Online Health Service,5,Great Service for Online Health Service,Great Service for Online Health Service,en
Kalo bisa harganya jgn mahal² 😜,5,Kalo bisa harganya jgn mahal² 😜,If possible the price is not expensive 😜,id
Pengiriman Obat cepat & tepat,5,Pengiriman Obat cepat & tepat,Fast & Right Medicine Delivery,id
So impressive. I have dry cough and within less than 30 minutes I got the cough syrup that I need. The app payment system is also so smooth and not complicated. The process is so easy and not convoluted like any other similar app. Well done. 👍👍,5,So impressive. I have dry cough and within less than 30 minutes I got the cough syrup that I need. The app payment system is also so smooth and not complicated. The process is so easy and not convoluted like any other similar app. Well done. 👍👍,So impressive. I have dry cough and within less than 30 minutes I got the cough syrup that I need. The app payment system is also so smooth and not complicated. The process is so easy and not convoluted like any other similar app. Well done. 👍👍,en
"Akurat, cepat, Dan mudaj",5,"Akurat, cepat, Dan mudaj","Accurate, fast, and mudaj",id
"Lagi bedrest dirumah orgtua, pedalaman bekasi. Apotek terdekat ga lengkap,, mana ga bs jauh² nek motor krn post op. sangat membantu sekali halodoc,, 30 menit sampai. Trmksh yah",5,"Lagi bedrest dirumah orgtua, pedalaman bekasi. Apotek terdekat ga lengkap,, mana ga bs jauh² nek motor krn post op. sangat membantu sekali halodoc,, 30 menit sampai. Trmksh yah","Again bedrest at the house of parents, inland Bekasi. The nearest pharmacy is not complete ,, where can I not stay away because of the post op. very helpful Halodoc ,, 30 minutes until. Thanks",id
Thanks Halodoc..semakin lama semakin bagus. Aplikasi yg membuat journey berobat menjadi happy...happy pun menambah imun...🥰🥰,5,Thanks Halodoc..semakin lama semakin bagus. Aplikasi yg membuat journey berobat menjadi happy...happy pun menambah imun...🥰🥰,Thanks Halodoc ... the better the better. Applications that make the journey for treatment to be happy ... Happy also adds to immune ... 🥰🥰,id
Aplikasi jelek sistem order aneh... Sering kali sudah konsultasi dengan dokter dan melakukan cekout order obat. Sdh terkonfirmasi pembayaran dll tinggal tggu obat datang. Lamaa tidak datang datang waktu saya cek status order ternyata berubah menjadi DIBATALKAN ?????? Siapa yg membatalkan dan kenapa???? Tidak ada konfirmasi tidak ada penjelasan. Saya order ulang pemesanan obat nya namun biaya jd tidak dicover asuransi. Pdahal yg error dr sistem hallodoc. Sdh chat dgn CS tidak bs membantu. Aneh...,2,Aplikasi jelek sistem order aneh... Sering kali sudah konsultasi dengan dokter dan melakukan cekout order obat. Sdh terkonfirmasi pembayaran dll tinggal tggu obat datang. Lamaa tidak datang datang waktu saya cek status order ternyata berubah menjadi DIBATALKAN ?????? Siapa yg membatalkan dan kenapa???? Tidak ada konfirmasi tidak ada penjelasan. Saya order ulang pemesanan obat nya namun biaya jd tidak dicover asuransi. Pdahal yg error dr sistem hallodoc. Sdh chat dgn CS tidak bs membantu. Aneh...,Worse Application Strange Order System ... Often Consult with a doctor and check out the drug order. Already confirmed payment etc. just stay the drug coming. For a long time I didn't come when I checked the status of the order turned out to be canceled ?????? Who cancels and why ???? There is no confirmation there is no explanation. I re -order the order of the medicine but the fee is not covered by insurance. Even though the error of the Hallodoc system. Chat with CS can't help. Strange...,id
Solusi untuk konsultasi telemedicine dengan dokter dengan biaya yang terjangkau dan tidak perlu keluar rumah. resep digital dari dokter ok bgt. bisa di download dan bisa di untuk claim obat ke apotik. kekurangannya hanya harga obat lebih tinggi dan pemilihan apotiknya cukup jauh dari lokasi pemesan.,4,Solusi untuk konsultasi telemedicine dengan dokter dengan biaya yang terjangkau dan tidak perlu keluar rumah. resep digital dari dokter ok bgt. bisa di download dan bisa di untuk claim obat ke apotik. kekurangannya hanya harga obat lebih tinggi dan pemilihan apotiknya cukup jauh dari lokasi pemesan.,The solution for telemedicine consultation with doctors at affordable costs and does not need to leave the house. Digital prescription from doctor is OK. can be downloaded and can be used to claim drugs to pharmacies. The drawback is only the price of the drug is higher and the pharmacy selection is quite far from the customer location.,id
Very good apps. Nice and helpful doctors.,5,Very good apps. Nice and helpful doctors.,Very good apps. Nice and helpful doctors.,en
Menolong saya yg baru males keluar beli obat. Karena saya baru sakit perut.,5,Menolong saya yg baru males keluar beli obat. Karena saya baru sakit perut.,Help me who is just lazy out to buy medicine. Because I just got stomachache.,id
Mudah & sangat membantu,5,Mudah & sangat membantu,Easy & very helpful,id
"Resep ga bisa didownload, fasilitas cek harga ga bisa di akes, resep ga di proses.",1,"Resep ga bisa didownload, fasilitas cek harga ga bisa di akes, resep ga di proses.","Recipes cannot be downloaded, price check facilities can not be acted, the recipe is not processed.",id
"Sangat buruk, saya janji temu dokter tapi dokternya praktek di ER. Saya cancel untuk temu dokter selanjutnya. Sdh di cancel lwt email, CS, whatsapp, dan via live chat CS. Tapi tetap halo doc bikin janji temu dengan dokter tersebut. Saya minta refund gak ada kejelasan sampai skrng. Untuk yg mau download aplikasi ini hati2, karena refund sangat tidak mungkin. Saya sdh delete aplikasinya, gak apa2 uang hilang.",1,"Sangat buruk, saya janji temu dokter tapi dokternya praktek di ER. Saya cancel untuk temu dokter selanjutnya. Sdh di cancel lwt email, CS, whatsapp, dan via live chat CS. Tapi tetap halo doc bikin janji temu dengan dokter tersebut. Saya minta refund gak ada kejelasan sampai skrng. Untuk yg mau download aplikasi ini hati2, karena refund sangat tidak mungkin. Saya sdh delete aplikasinya, gak apa2 uang hilang.","Very bad, I promise to meet a doctor but the doctor practices at ER. I cancel for the next doctor meeting. Already in Cancel LWT email, cs, whatsapp, and via live chat cs. But still hello doc made an appointment with the doctor. I ask for a refund, there is no clarity until now. For those who want to download this application, be careful, because refund is very impossible. I have deleted the application, it's okay for money to disappear.",id
"Good app, bermanfaat sekali👍",5,"Good app, bermanfaat sekali👍","Good app, very useful.",id
Sangat membantu sekali,5,Sangat membantu sekali,Very helpful,id
Hallo doc membantu saya cpt tnggap ..dokternya bagus selalu cocok obat cepet sampe kerumah.ga perlu repot ke rs lg kecuali keadaan emergency,5,Hallo doc membantu saya cpt tnggap ..dokternya bagus selalu cocok obat cepet sampe kerumah.ga perlu repot ke rs lg kecuali keadaan emergency,Hello doc helping me cpt it ... the doctor is good always suitable for the fast medicine until home.,id
"Mudah, simple dan jelas",5,"Mudah, simple dan jelas","Easy, simple and clear",id
"Masa sy konsul buat art sy yg +, nama sy yg ditulis jd pasien. Sy kan sdh bilang: sy - covid. PARAH APKnya.",2,"Masa sy konsul buat art sy yg +, nama sy yg ditulis jd pasien. Sy kan sdh bilang: sy - covid. PARAH APKnya.","My consul is for the art that is +, my name is written by the patient. I have said: Sy -Covid. The apk is severe.",id
Ok sgt membantu,5,Ok sgt membantu,Ok SGT helps,id
"Sangat membantu, lengkap dengan rekomendasi obat, catatan dokter, dan juga list harga obat sehingga mudah untuk difollow up ke faskes dan apotik terdekat.",5,"Sangat membantu, lengkap dengan rekomendasi obat, catatan dokter, dan juga list harga obat sehingga mudah untuk difollow up ke faskes dan apotik terdekat.","Very helpful, complete with drug recommendations, doctor's notes, and also a list of drug prices so that it is easy to follow up to the nearest health facilities and pharmacies.",id
"Sangat berguna, pembayaran praktis dan tidak ribet",5,"Sangat berguna, pembayaran praktis dan tidak ribet","Very useful, practical payments and not complicated",id
"Kapan saja ,dimana saja, konsul kesehatan menjadi mudah, murah dan menyenangkan",5,"Kapan saja ,dimana saja, konsul kesehatan menjadi mudah, murah dan menyenangkan","Anytime, anywhere, the health consul becomes easy, cheap and fun",id
Setelah menunggu lama. Pesanan obat dibatalkan. Padahal perlu banget. Tidak merekomendasikan apps ini. Work flownya tidak bagus,1,Setelah menunggu lama. Pesanan obat dibatalkan. Padahal perlu banget. Tidak merekomendasikan apps ini. Work flownya tidak bagus,After waiting for a long time. Drug orders are canceled. Even though it's really necessary. Does not recommend this apps. The work flow is not good,id
Hallo Doc makes me need Hallo Help desk. Any CC and VA were failed.,2,Hallo Doc makes me need Hallo Help desk. Any CC and VA were failed.,Hallo Doc makes me need Hallo Help desk. Any CC and VA were failed.,en
"Obatnya sesuai resep dokter diterima, diapotek kosong, obat gak kekirim juga 😅. Tetep aja beli obat sendiri akhirnya 😆",3,"Obatnya sesuai resep dokter diterima, diapotek kosong, obat gak kekirim juga 😅. Tetep aja beli obat sendiri akhirnya 😆","The medicine according to the doctor's prescription is accepted, empty diapotek, the medicine is not sent too 😅. Just buy your own medicine finally 😆",id
